year,model,N,IV_mean,Forecast_mean,Gap_mean,Gap_median,Corr
2010,EGARCH,2585,0.3325847295938104,0.3186270977295063,-0.013957631864304109,-0.0068693198599871,0.66594649443388
2010,ESG-EGARCH,1254,0.3257897268740032,0.3115323011639402,-0.01425742571006295,-0.0034533212237146,0.4964924438893853
2010,ESG-EGARCH(E),1254,0.3257897268740032,0.3115323011639402,-0.014257425710062962,-0.0034533212237147,0.4964924438893854
2010,ESG-EGARCH(G),1254,0.3257897268740032,0.3115323011639402,-0.014257425710062966,-0.0034533212237147,0.4964924438893853
2010,ESG-EGARCH(S),1254,0.3257897268740032,0.3115323011639402,-0.014257425710062948,-0.0034533212237146003,0.4964924438893853
2010,ESG-GARCH,1254,0.3257897268740032,0.31493060657619887,-0.010859120297804292,0.00015801886894639978,0.5283808778623825
2010,ESG-GARCH(E),1254,0.3257897268740032,0.31493060657619887,-0.010859120297804335,0.0001580188689465998,0.528380877862382
2010,ESG-GARCH(G),1254,0.3257897268740032,0.31493060657619876,-0.010859120297804408,0.00015801886894684978,0.5283808778623822
2010,ESG-GARCH(S),1254,0.3257897268740032,0.31493060657619876,-0.010859120297804408,0.00015801886894684978,0.5283808778623823
2010,ESG-GJR-GARCH,1254,0.3257897268740032,0.3227751445732543,-0.003014582300748914,0.00724848505225625,0.5011439385931272
2010,ESG-GJR-GARCH(E),1254,0.3257897268740032,0.32277514457325424,-0.003014582300748935,0.00724848505225635,0.501143938593127
2010,ESG-GJR-GARCH(G),1254,0.3257897268740032,0.32277514457325424,-0.003014582300748934,0.0072484850522562,0.5011439385931272
2010,ESG-GJR-GARCH(S),1254,0.3257897268740032,0.32277514457325424,-0.0030145823007489336,0.0072484850522562,0.5011439385931273
2010,GARCH,2610,0.3326204281609195,0.31255976701794885,-0.02006066114297067,-0.012374376973242649,0.6602054834465175
2010,GJR-GARCH,2610,0.3326204281609195,0.323037535215187,-0.009582892945732528,-0.0020377849615914,0.6293863885373564
