threshold,model,horizon,n_trades,mean_pnl,win_rate,std_pnl,sharpe_type,total_pnl
1.0,EGARCH,5,28908,7.207534602317107,0.5441400304414004,191.35813182194573,0.26739610806674274,208355.41028378293
1.0,EGARCH,10,24346,7.723209969108239,0.5483036227717079,216.05201547157282,0.1794484826326243,188029.26990790918
1.0,EGARCH,20,8225,8.22122918384926,0.5249848024316109,461.08906856002295,0.06329030690581343,67619.61003716016
1.0,ESG-EGARCH,5,27886,7.442889125988849,0.5457218676038156,199.38329162336595,0.2650135356534821,207552.40616732504
1.0,ESG-EGARCH,10,23532,7.640402604490596,0.5522267550569437,224.57561147852564,0.17078665141914695,179793.9540888727
1.0,ESG-EGARCH,20,7931,9.635241675105835,0.5330979699911739,468.61677574179987,0.07298440187823768,76417.10172526438
1.0,ESG-EGARCH(E),5,27939,7.376116035804587,0.5457604066000931,199.1424531080467,0.26295362104560005,206081.30592434437
1.0,ESG-EGARCH(E),10,23577,7.3450188258291735,0.5518089663655257,218.1838648663153,0.16899371498832416,173173.50885657442
1.0,ESG-EGARCH(E),20,7952,8.601686572803386,0.5335764587525151,454.2064729089432,0.06722264045425437,68400.61162693253
1.0,ESG-EGARCH(G),5,27991,7.34694966532007,0.5453538637419171,198.99244957042274,0.2621112940291841,205648.46808197408
1.0,ESG-EGARCH(G),10,23619,7.59846159808599,0.5518438545239003,223.98455695019578,0.1702973410890921,179468.064485193
1.0,ESG-EGARCH(G),20,7967,9.884410224586208,0.5338270365256684,467.5938708819815,0.07503557656207634,78749.09625927832
1.0,ESG-EGARCH(S),5,27975,7.239068955009115,0.5447363717605005,198.94562803064184,0.2583233011982384,202512.95401637998
1.0,ESG-EGARCH(S),10,23608,7.165378676645295,0.5509149440867502,217.93026135254104,0.16505241291013167,169160.25979824213
1.0,ESG-EGARCH(S),20,7961,8.449367337284531,0.5318427333249591,453.85553038257655,0.06608331674436758,67265.41337212216
1.0,ESG-GARCH,5,28533,6.887163521044249,0.5462446991203168,196.79801359205243,0.24844768375078669,196511.43674595555
1.0,ESG-GARCH,10,24096,6.851643628021322,0.5510458167330677,221.13295637245517,0.15553981008512585,165097.20486080178
1.0,ESG-GARCH,20,8083,7.713451592613305,0.5248051466039837,464.0878790850119,0.05899752665156501,62347.829223093344
1.0,ESG-GARCH(E),5,28604,6.967100673500424,0.5467766745909663,196.3853978168163,0.2518593983026947,199286.94766480612
1.0,ESG-GARCH(E),10,24137,6.7010014274016285,0.5504412313046361,215.25327459111844,0.15627525414526872,161742.07145319312
1.0,ESG-GARCH(E),20,8093,6.482408402994211,0.5240331150376869,450.0379923526079,0.051129610322367555,52462.131205432146
1.0,ESG-GARCH(G),5,28649,6.8437672979082915,0.5460923592446508,196.2711544555255,0.24754492404375025,196067.08931777463
1.0,ESG-GARCH(G),10,24196,6.6184289701302275,0.5499256075384361,215.13233813024672,0.1544363345619545,160139.50736127098
1.0,ESG-GARCH(G),20,8125,6.607242078526004,0.5254153846153846,449.1544419504766,0.052216744574182836,53683.84188802378
1.0,ESG-GARCH(S),5,28565,6.8293414522486735,0.545772798879748,196.49482341981246,0.24674194379896575,195080.13858348335
1.0,ESG-GARCH(S),10,24109,6.619074715197526,0.5497532041976025,215.32623131512324,0.15431232487630245,159579.27230869717
1.0,ESG-GARCH(S),20,8086,6.478486301427227,0.5239920850853327,450.33259982989705,0.051065246239031345,52385.04023334056
1.0,ESG-GJR-GARCH,5,28150,7.526201041384287,0.5500532859680284,197.32323708840195,0.2707776731102123,211862.55931496766
1.0,ESG-GJR-GARCH,10,23697,7.6805122871921565,0.5582563193653205,216.01502583036265,0.1784869618943219,182005.09966959254
1.0,ESG-GJR-GARCH,20,7927,8.891098145029964,0.5347546360539926,450.9231664241095,0.06999034412336268,70479.73499565253
1.0,ESG-GJR-GARCH(E),5,28160,6.864278191806352,0.5498934659090909,187.83394257311164,0.25943948285264007,193298.07388126687
1.0,ESG-GJR-GARCH(E),10,23703,7.259101068607555,0.5581993840442138,208.09965157002304,0.1751103275816233,172062.4726292049
