threshold,model,horizon,n_trades,mean_pnl,win_rate,std_pnl,sharpe_type,total_pnl
1.0,ESG-GJR-GARCH(E),20,7920,3.7173956417177223,0.5343434343434343,376.04757132132517,0.035089830455982546,29441.773482404362
1.0,ESG-GJR-GARCH(G),5,28215,7.45124794348943,0.5491405280878965,196.94052064661352,0.2686019748862592,210236.96072555427
1.0,ESG-GJR-GARCH(G),10,23748,7.569251306477559,0.5581522654539329,215.3323882669243,0.17645900971674733,179754.5800262291
1.0,ESG-GJR-GARCH(G),20,7944,8.888871322653772,0.5353726082578046,450.5743451038187,0.07002698555472671,70613.19378716157
1.0,ESG-GJR-GARCH(S),5,28230,6.770370076422269,0.5492029755579171,187.67831629372014,0.2561023584879505,191127.54725740067
1.0,ESG-GJR-GARCH(S),10,23767,7.065782665124454,0.5577060630285691,208.15936435051046,0.1703980389409526,167932.45660201288
1.0,ESG-GJR-GARCH(S),20,7945,3.9125999281367405,0.5346758967904343,375.4322766975525,0.036992962146705624,31085.606429046402
1.0,GARCH,5,29366,7.056840596112023,0.5446775182183478,191.7831338039139,0.26122525681054215,207231.18094542567
1.0,GARCH,10,24752,7.097444212265179,0.5456528765352294,217.24728818092993,0.1640015278260903,175675.9391419877
1.0,GARCH,20,8268,6.6290876022561696,0.5146347363328495,459.5456036949858,0.051204769444558984,54809.29629545401
1.0,GJR-GARCH,5,28550,7.4712928638608025,0.5474255691768827,193.1639849096349,0.27459009827022024,213305.41126322592
1.0,GJR-GARCH,10,24009,7.556962060446397,0.5499187804573284,219.7663517115722,0.1726180926816693,181435.10210925754
1.0,GJR-GARCH,20,7967,8.595710272558236,0.5221538847746956,468.555673789383,0.06511871772282325,68482.02374147146
1.5,EGARCH,5,17966,9.854905946062505,0.552766336413225,216.54969855526912,0.3230800701408594,177053.24022695897
1.5,EGARCH,10,14896,12.94282350497757,0.5596804511278195,234.46843975860293,0.27710534692641264,192796.2989301459
1.5,EGARCH,20,4706,10.76696178389567,0.5288992775180621,595.0134478119988,0.06423203223659327,50669.322155013026
1.5,ESG-EGARCH,5,17362,5.828980954266256,0.5491302845294321,203.48408805861945,0.20336558032787108,101202.76732797074
1.5,ESG-EGARCH,10,14426,6.599788596871275,0.5575350062387356,210.98331121464466,0.15702984100842007,95208.55029846502
1.5,ESG-EGARCH,20,4531,-0.7505637588561301,0.5387331714853233,409.169981468353,-0.0065113208898088925,-3400.8043913771257
1.5,ESG-EGARCH(E),5,17463,7.267521201400086,0.5507072095287179,201.09475852889642,0.25656701686736005,126912.7227400497
1.5,ESG-EGARCH(E),10,14505,7.980962246997748,0.5578765942778352,213.8588122982645,0.18733907703633437,115763.85739270234
1.5,ESG-EGARCH(E),20,4563,-1.4667311390807811,0.5364891518737672,409.0373741919368,-0.012728370051221887,-6692.694187625604
1.5,ESG-EGARCH(G),5,17464,6.12021320282059,0.5495877233165368,204.8632748252318,0.21208878728520703,106883.40337405879
1.5,ESG-EGARCH(G),10,14498,7.129297076988467,0.5572492757621741,213.85811374271458,0.16734827902144103,103360.5490221788
1.5,ESG-EGARCH(G),20,4559,-0.6490848101717439,0.5376178986619873,407.66638987503404,-0.005651735269347906,-2959.1776495729805
1.5,ESG-EGARCH(S),5,17429,7.2162915089035105,0.5493143611222675,202.69960417390158,0.25274142874882405,125772.74470867928
1.5,ESG-EGARCH(S),10,14471,8.210385722909846,0.5566996061087692,219.63836386605078,0.1876530515672775,118812.4917962284
1.5,ESG-EGARCH(S),20,4547,-1.4354459335648044,0.5339784473279086,409.7718540002042,-0.012434547543069266,-6526.972659919165
1.5,ESG-GARCH,5,17686,6.538665758300653,0.5447246409589506,198.14402251777642,0.23427364283567684,115642.84260130535
1.5,ESG-GARCH,10,14680,6.291742786050086,0.5475476839237057,209.4869496111988,0.1507697647827367,92362.78409921526
1.5,ESG-GARCH,20,4611,-3.6504170036968455,0.5230969420949902,409.40218962944533,-0.031650282459408804,-16832.072804046154
1.5,ESG-GARCH(E),5,17794,7.657560049605873,0.5450713723727099,208.47234280107412,0.26076976306006877,136258.62352268692
1.5,ESG-GARCH(E),10,14764,7.252163092906603,0.5476835545922514,223.567060944723,0.16283959560324215,107070.93590367309
1.5,ESG-GARCH(E),20,4641,-3.4246660249487384,0.5235940530058177,408.970700493387,-0.029724277181164424,-15893.875021787095
1.5,ESG-GARCH(G),5,17787,7.468774270395495,0.5457356496317536,207.013053942209,0.25613378648840124,132847.08794752468
1.5,ESG-GARCH(G),10,14747,6.795536646061971,0.5474333762799214,217.8706021100543,0.15657607264707094,100213.7789194759
1.5,ESG-GARCH(G),20,4640,-3.666567470649177,0.5230603448275862,408.04638552741875,-0.031895940935892514,-17012.87306381218
1.5,ESG-GARCH(S),5,17746,7.438034696626168,0.5444607235433337,208.68943841756143,0.2530305722898562,131995.36372632798
1.5,ESG-GARCH(S),10,14727,7.048978560704649,0.5473619881849664,224.02775972766622,0.15795181624294818,103810.30726349737
1.5,ESG-GARCH(S),20,4632,-3.929933352533906,0.5237478411053541,409.7610301709272,-0.03404393909224069,-18203.451288937053
1.5,ESG-GJR-GARCH,5,17668,7.490468341746305,0.5506565542223228,207.8523443935062,0.2558405109272609,132341.5946619737
1.5,ESG-GJR-GARCH,10,14633,7.918068405222222,0.5569602952231258,215.9955093325773,0.18402414038557088,115865.09497361677
1.5,ESG-GJR-GARCH,20,4665,-2.3756717627888504,0.5309753483386924,408.71977022446936,-0.02063222488023553,-11082.508773409987
1.5,ESG-GJR-GARCH(E),5,17790,7.6474768990195185,0.550477796514896,208.40402700076072,0.26051176145753985,136048.61403355724
1.5,ESG-GJR-GARCH(E),10,14735,8.237843301169255,0.555412283678317,220.51240746547285,0.18753432355553046,121384.62104272898
1.5,ESG-GJR-GARCH(E),20,4701,-2.4445552332446456,0.5300999787279302,408.39223925605006,-0.02124749062873594,-11491.85415148308
1.5,ESG-GJR-GARCH(G),5,17766,7.596655591603315,0.5503208375548801,208.4492490128702,0.25872438942802906,134962.1832404245
1.5,ESG-GJR-GARCH(G),10,14718,8.334590809315316,0.5561896996874576,221.03366687299751,0.18928932591103734,122668.50753150282
1.5,ESG-GJR-GARCH(G),20,4692,-1.8417573600960115,0.5313299232736572,407.2542669144691,-0.016052846148414634,-8641.525533570486
1.5,ESG-GJR-GARCH(S),5,17731,7.774427616090763,0.5496023912920873,208.738895266108,0.26441148298360534,137848.3760609053
1.5,ESG-GJR-GARCH(S),10,14679,8.17379466264035,0.5552830574289802,220.9149560636628,0.18573719175512957,119983.13185289771
1.5,ESG-GJR-GARCH(S),20,4677,-2.125153213573536,0.5279025016035921,407.5629369561252,-0.018508909652152742,-9939.341579883427
1.5,GARCH,5,18175,8.60222097211513,0.5422283356258597,219.68921613256265,0.2779822868620595,156345.3661681925
1.5,GARCH,10,15064,8.500097430610102,0.5438130642591609,239.60312489407872,0.17808678609630835,128045.46769471058
1.5,GARCH,20,4830,8.073952044964964,0.5033126293995859,587.9978011000309,0.0487411460113338,38997.18837718078
1.5,GJR-GARCH,5,17783,8.63792817972695,0.5452398357982343,221.43476440353245,0.27693576883251414,153608.27682008434
1.5,GJR-GARCH,10,14742,8.980813225410142,0.5466015466015466,245.0096647788174,0.1840063110551755,132395.14856899632
1.5,GJR-GARCH,20,4769,8.815473214462518,0.5063954707485846,592.8668735391894,0.05278052647927932,42040.99175977175
2.0,EGARCH,5,9074,6.148521862310782,0.5501432664756447,169.79018149431587,0.25708303435753543,55791.68737860803
2.0,EGARCH,10,7366,10.926738836405626,0.5566114580505023,150.8554613176037,0.3636049576840045,80486.35826896384
2.0,EGARCH,20,2258,-8.120825440940916,0.5194862710363153,410.57295271616834,-0.0702093757936037,-18336.823845644587
2.0,ESG-EGARCH,5,8482,7.6121069963704375,0.5539966988917708,134.9167065990804,0.40054786491497624,64565.89154321405
2.0,ESG-EGARCH,10,6881,12.179622384623416,0.563144891730853,171.52157807253042,0.35646371618100336,83807.98162859373
2.0,ESG-EGARCH,20,2034,4.033780587418076,0.54031465093412,135.0519650808723,0.10602215718250385,8204.709714808367
2.0,ESG-EGARCH(E),5,8570,7.578752557120987,0.5554259043173863,136.39935884768352,0.3944579079821045,64949.90941452686
2.0,ESG-EGARCH(E),10,6939,12.650079238308225,0.5617524138924918,170.0855676225474,0.37335850815991545,87778.89983462077
2.0,ESG-EGARCH(E),20,2053,3.846640783722367,0.5406721870433512,134.82025289573687,0.10127721889540806,7897.153528982019
2.0,ESG-EGARCH(G),5,8472,7.645927738359787,0.5552407932011332,133.37268352112838,0.4069851545765903,64776.29979938411
2.0,ESG-EGARCH(G),10,6858,12.6213766494377,0.5618256051326918,170.26251026414496,0.3721242441227719,86557.40106184375
2.0,ESG-EGARCH(G),20,2032,4.907097430942987,0.5418307086614174,132.01177317055016,0.13194632209384582,9971.221979676151
2.0,ESG-EGARCH(S),5,8515,8.159836197903893,0.5553728714034057,137.90278423894173,0.4200719418123979,69481.00522515165
2.0,ESG-EGARCH(S),10,6886,12.495979881840523,0.5614289863491141,170.93802282504285,0.3669711403019094,86047.31746635384
2.0,ESG-EGARCH(S),20,2044,4.300541424747878,0.538160469667319,133.87662055855603,0.11402594152668426,8790.306672184663
2.0,ESG-GARCH,5,8968,5.353008818372246,0.5431534344335415,168.46221214212684,0.2255852645867519,48005.78308316231
2.0,ESG-GARCH,10,7323,8.354094375810366,0.54240065546907,174.5953439981015,0.24019667404909747,61177.03311405931
2.0,ESG-GARCH,20,2223,-3.672188647280999,0.5330634278002699,409.26019796162626,-0.031850096037842494,-8163.275362905661
2.0,ESG-GARCH(E),5,9067,5.762643041960746,0.543840299988971,167.4114025003683,0.24437228639325428,52249.88446145808
2.0,ESG-GARCH(E),10,7411,8.704690533821859,0.5421670489812441,169.61073937475675,0.25763226927182037,64510.46154615379
2.0,ESG-GARCH(E),20,2251,-1.9926897342772292,0.5304309195912927,402.30381876095106,-0.017582102233962588,-4485.544591858043
2.0,ESG-GARCH(G),5,9001,4.589222725494146,0.5436062659704477,183.22414610154084,0.1778163524673711,41307.59375217281
2.0,ESG-GARCH(G),10,7347,8.193147125055521,0.5419899278617123,178.54448726139685,0.23035867854079523,60195.05192778291
2.0,ESG-GARCH(G),20,2240,-10.530023414157053,0.5285714285714286,525.5167714810889,-0.07112594156851025,-23587.2524477118
2.0,ESG-GARCH(S),5,9046,5.584288419803087,0.5428918859164271,167.60428992209268,0.23653639776464636,50515.473045538725
2.0,ESG-GARCH(S),10,7378,8.56678631729113,0.5402548116020601,170.43172920012557,0.2523293415319501,63205.74944897396
2.0,ESG-GARCH(S),20,2250,-2.0524809351363147,0.528,402.3903601687701,-0.01810576321032814,-4618.082104056708
2.0,ESG-GJR-GARCH,5,9069,3.6653494960305086,0.5514389679126696,220.16028713522465,0.11819297839927846,33241.054579500684
2.0,ESG-GJR-GARCH,10,7418,7.030605331481862,0.5463736856295498,206.96667301120405,0.17052677199492294,52153.03034893245
2.0,ESG-GJR-GARCH,20,2323,-12.365111657478332,0.5208781747739991,551.028698322856,-0.07965427642723122,-28724.154380322165
2.0,ESG-GJR-GARCH(E),5,9155,4.373061667443447,0.5520480611687603,219.63327868823265,0.14135224976211871,40035.37956544476
2.0,ESG-GJR-GARCH(E),10,7485,8.046012993164066,0.5468269873079492,204.03395365186228,0.19796050580406094,60224.40725383304
2.0,ESG-GJR-GARCH(E),20,2347,-11.576305645999174,0.5206646783127397,546.246979618358,-0.07522569498851213,-27169.589351160063
2.0,ESG-GJR-GARCH(G),5,9107,4.257155859515529,0.5521027780827935,220.83027852318506,0.13685989375595325,38769.91841260792
2.0,ESG-GJR-GARCH(G),10,7452,7.188552789319748,0.5473698336017176,205.3367538647665,0.1757417896480888,53569.09538601076
2.0,ESG-GJR-GARCH(G),20,2337,-11.445349270388988,0.5241762943945228,547.438719683066,-0.0742127989795057,-26747.781244899066
2.0,ESG-GJR-GARCH(S),5,9153,5.144144116901374,0.5509668960996394,200.2225797550362,0.1823960137677862,47084.351101998276
2.0,ESG-GJR-GARCH(S),10,7475,8.57313692260766,0.5476923076923077,193.8740251577958,0.22198335107483883,64084.19849649226
2.0,ESG-GJR-GARCH(S),20,2341,-11.72835680799882,0.520717642033319,546.9857772875513,-0.07611082132137884,-27456.083287525238
2.0,GARCH,5,9670,3.0317311349276985,0.5387797311271976,195.8226211961259,0.10991148927891636,29316.840074750846
2.0,GARCH,10,7963,7.3077527479065365,0.5422579429863117,181.29238803028943,0.20235062291572106,58191.63513157975
2.0,GARCH,20,2518,-12.728575465685491,0.5107227958697379,534.0535981949661,-0.0846019218685712,-32050.55302259607
2.0,GJR-GARCH,5,9638,3.0123100359494135,0.545860136957875,213.30957616277482,0.10025466361909205,29032.64412648045
2.0,GJR-GARCH,10,7914,5.85797240536696,0.5376547889815517,199.01929535123614,0.14775847757255445,46359.99361607412
2.0,GJR-GARCH,20,2530,-14.32199520984344,0.5019762845849802,531.9466601732573,-0.09556980726639852,-36234.6478809039
