threshold,model,horizon,direction,n,mean_pnl,median_pnl,win_rate,total_pnl
1.0,EGARCH,5,SHORT_VOL,13389,12.525235308467876,3.3671567669595435,0.5493315408170887,167700.3755450764
1.0,EGARCH,10,SHORT_VOL,10934,17.382017065393672,8.405767674037481,0.578836656301445,190054.97459301443
1.0,ESG-EGARCH,5,SHORT_VOL,14056,12.10732350896782,3.4212615246232594,0.5503699487763233,170180.5392420517
1.0,ESG-EGARCH,10,SHORT_VOL,11578,16.42643130971887,7.89518379365046,0.5798065296251511,190185.22170392505
1.0,ESG-EGARCH(E),5,SHORT_VOL,14112,12.099284045196216,3.4873473472640724,0.551374716553288,170745.096445809
1.0,ESG-EGARCH(E),10,SHORT_VOL,11624,16.46707871335004,7.906976507828242,0.5793186510667584,191413.32296398087
1.0,ESG-EGARCH(G),5,SHORT_VOL,14052,12.003343387904383,3.3959657092784195,0.5498861372046684,168670.9812868324
1.0,ESG-EGARCH(G),10,SHORT_VOL,11574,16.280372383013095,7.830488594644744,0.578538102643857,188429.02996099356
1.0,ESG-EGARCH(S),5,SHORT_VOL,14097,11.956070362050617,3.360380406844058,0.5492658012343051,168544.72389382756
1.0,ESG-EGARCH(S),10,SHORT_VOL,11614,16.283515045181932,7.789438053767341,0.5783537110384019,189116.74373474295
1.0,ESG-GARCH,5,SHORT_VOL,13337,12.421050713374534,3.559072845949925,0.5524480767788859,165659.55336427616
1.0,ESG-GARCH,10,SHORT_VOL,10909,17.381868998495584,7.937007599434906,0.5803465028875241,189618.8089045883
1.0,ESG-GARCH(E),5,SHORT_VOL,13410,12.421055555359414,3.626437344971894,0.5535421327367636,166566.35499736975
1.0,ESG-GARCH(E),10,SHORT_VOL,10953,17.45394901466132,7.917332912141369,0.5795672418515475,191173.10355758542
1.0,ESG-GARCH(G),5,SHORT_VOL,13341,12.254169248109212,3.5044048142598294,0.5519076530994678,163482.871939025
1.0,ESG-GARCH(G),10,SHORT_VOL,10911,17.254658035033696,7.789859086403393,0.5784987627165246,188265.57382025264
1.0,ESG-GARCH(S),5,SHORT_VOL,13366,12.334593175783882,3.541041421939144,0.5522968726619781,164864.17238752736
1.0,ESG-GARCH(S),10,SHORT_VOL,10925,17.383061134966333,7.89826649949644,0.5790389016018307,189909.94289950718
1.0,ESG-GJR-GARCH,5,SHORT_VOL,12949,12.603015748319146,3.6246701748183963,0.5530156768862461,163196.45092498462
1.0,ESG-GJR-GARCH,10,SHORT_VOL,10550,16.495717815211165,8.339747917508225,0.5819905213270142,174029.8229504778
1.0,ESG-GJR-GARCH(E),5,SHORT_VOL,13011,12.614542285276718,3.6736996100921857,0.5534547690415802,164127.80967373538
1.0,ESG-GJR-GARCH(E),10,SHORT_VOL,10604,16.57372693483723,8.344196087920539,0.5819502074688797,175747.800417014
1.0,ESG-GJR-GARCH(G),5,SHORT_VOL,12920,12.570919170758405,3.527793318717231,0.551780185758514,162416.27568619858
1.0,ESG-GJR-GARCH(G),10,SHORT_VOL,10521,16.415123290329216,8.360011091591154,0.5813135633494915,172703.51213755368
1.0,ESG-GJR-GARCH(S),5,SHORT_VOL,12996,12.577000597179357,3.5573035697156223,0.5523237919359802,163450.69976094292
1.0,ESG-GJR-GARCH(S),10,SHORT_VOL,10591,16.298517444539016,8.241028532090121,0.5814370692097064,172617.5982551127
1.0,GARCH,5,SHORT_VOL,12510,13.482668063657101,3.6468962723307516,0.5513189448441247,168668.17747635033
1.0,GARCH,10,SHORT_VOL,10135,18.21533623135147,8.271041518337395,0.5772076961026147,184612.43270474713
1.0,GJR-GARCH,5,SHORT_VOL,12203,12.7874580298575,3.646149809094137,0.5503564697205605,156045.35033835107
1.0,GJR-GARCH,10,SHORT_VOL,9891,16.60620799632133,8.13009395698134,0.5768880800727935,164252.00329161427
1.0,EGARCH,20,SHORT_VOL,3447,25.492165657514615,11.242058397322296,0.5842761821874093,87871.49502145288
1.0,EGARCH,5,LONG_VOL,15519,2.6196942289262544,1.9856297178883473,0.5396610606353502,40655.03473870654
1.0,EGARCH,10,LONG_VOL,13412,-0.15103673464846695,1.847553053675484,0.5234118699671936,-2025.7046851052387
1.0,EGARCH,20,LONG_VOL,4778,-4.2385694818528075,-2.0085151199559594,0.4822101297614064,-20251.884984292712
1.0,ESG-EGARCH,20,SHORT_VOL,3716,22.45296013888434,10.358474940942692,0.5796555435952637,83435.19987609421
1.0,ESG-EGARCH,5,LONG_VOL,13830,2.7022318817985083,1.982408436990862,0.540997830802603,37371.86692527337
1.0,ESG-EGARCH,10,LONG_VOL,11954,-0.8692711740883675,1.9187460802013114,0.5255144721432157,-10391.267615052346
1.0,ESG-EGARCH,20,LONG_VOL,4215,-1.665029217278726,-0.7248172592362785,0.49205219454329774,-7018.09815082983
1.0,ESG-EGARCH(E),20,SHORT_VOL,3717,22.699395986690714,10.533346094890575,0.580575733118106,84373.65488252939
1.0,ESG-EGARCH(E),5,LONG_VOL,13827,2.555594812941011,1.944209238044949,0.540030375352571,35336.20947853536
1.0,ESG-EGARCH(E),10,LONG_VOL,11953,-1.5259611902791304,1.9014953584317433,0.5250564711787836,-18239.814107406444
1.0,ESG-EGARCH(E),20,LONG_VOL,4235,-3.771674912773757,-0.7239366268712111,0.4923258559622196,-15973.04325559686
1.0,ESG-EGARCH(G),20,SHORT_VOL,3714,22.51890378555078,10.195120482012161,0.5778136779752289,83635.2086595356
1.0,ESG-EGARCH(G),5,LONG_VOL,13939,2.65280771900005,2.00160562742155,0.540784848267451,36977.486795141696
1.0,ESG-EGARCH(G),10,LONG_VOL,12045,-0.743957283171487,1.9549570136312138,0.5261934412619345,-8960.965475800562
1.0,ESG-EGARCH(G),20,LONG_VOL,4253,-1.1488625441470186,-0.46275038586641415,0.49541500117564075,-4886.11240025727
1.0,ESG-EGARCH(S),20,SHORT_VOL,3736,22.25751282000162,10.099027138547957,0.5770877944325482,83154.06789552605
1.0,ESG-EGARCH(S),5,LONG_VOL,13878,2.4476315119291265,1.9426598163241429,0.5401354662055051,33968.23012255242
1.0,ESG-EGARCH(S),10,LONG_VOL,11994,-1.6638722641738233,1.8421771130337792,0.5243455060863765,-19956.483936500837
1.0,ESG-EGARCH(S),20,LONG_VOL,4225,-3.760628289563052,-0.747633201367087,0.4918343195266272,-15888.654523403895
1.0,ESG-GARCH,20,SHORT_VOL,3415,23.42860232165777,9.825983777299882,0.5756954612005857,80008.67692846128
1.0,ESG-GARCH,5,LONG_VOL,15196,2.0302634497025136,2.014937014957458,0.540800210581732,30851.883381679396
1.0,ESG-GARCH,10,LONG_VOL,13187,-1.8595286299982183,1.9613948122609859,0.5268067035716995,-24521.604043786505
1.0,ESG-GARCH,20,LONG_VOL,4668,-3.7833863978937314,-1.2695799404840074,0.4875749785775493,-17660.847705367938
1.0,ESG-GARCH(E),20,SHORT_VOL,3422,23.40207740043509,9.855211510298247,0.575686732904734,80081.90886428888
1.0,ESG-GARCH(E),5,LONG_VOL,15194,2.1535206441645633,2.0152319579636258,0.5408055811504541,32720.592667436376
1.0,ESG-GARCH(E),10,LONG_VOL,13184,-2.232329498209369,1.9310051749759451,0.5262439320388349,-29431.032104392318
1.0,ESG-GARCH(E),20,LONG_VOL,4671,-5.913033110438179,-1.3302584171701781,0.4861913937058446,-27619.777658856736
1.0,ESG-GARCH(G),20,SHORT_VOL,3421,23.261281880053616,9.794138524660525,0.574393452206957,79576.84531166342
1.0,ESG-GARCH(G),5,LONG_VOL,15308,2.128574430281528,2.0194345013156454,0.541024301019075,32584.217378749636
1.0,ESG-GARCH(G),10,LONG_VOL,13285,-2.117129579148038,1.9356979546306832,0.5264584117425668,-28126.066458981684
1.0,ESG-GARCH(G),20,LONG_VOL,4704,-5.504465013528834,-0.9960923325803179,0.4897959183673469,-25893.003423639635
1.0,ESG-GARCH(S),20,SHORT_VOL,3427,23.339988994273682,9.684837401403144,0.573971403559965,79986.14228337591
1.0,ESG-GARCH(S),5,LONG_VOL,15199,1.9880233038986763,1.9590791770147522,0.5400355286532008,30215.96619595598
1.0,ESG-GARCH(S),10,LONG_VOL,13184,-2.3005666406864385,1.8858086726056351,0.5254854368932039,-30330.670590810005
1.0,ESG-GARCH(S),20,LONG_VOL,4659,-5.924254571804111,-1.2970594239792312,0.48722901910281174,-27601.102050035355
1.0,ESG-GJR-GARCH,20,SHORT_VOL,3291,24.727412921280436,11.588136468935907,0.5821938620480097,81377.91592393392
1.0,ESG-GJR-GARCH,5,LONG_VOL,15201,3.2015070317731102,2.309745054896812,0.5475297677784356,48666.10838998305
1.0,ESG-GJR-GARCH,10,LONG_VOL,13147,0.6066233147573399,2.957478917565446,0.5392104662660683,7975.276719114747
1.0,ESG-GJR-GARCH(E),20,SHORT_VOL,3301,24.59193493380206,11.463946257777252,0.5813389881853983,81177.9772164806
1.0,ESG-GJR-GARCH(E),5,LONG_VOL,15149,1.9255570801723876,2.297973368526776,0.546834774572579,29170.264207531498
1.0,ESG-GJR-GARCH(E),10,LONG_VOL,13099,-0.2813442085509652,2.94179101034403,0.538972440644324,-3685.3277878090935
1.0,ESG-GJR-GARCH(G),20,SHORT_VOL,3284,24.351576558074154,11.281452710243183,0.5788672350791717,79970.57741671552
1.0,ESG-GJR-GARCH(G),5,LONG_VOL,15295,3.126556720454769,2.290245041108278,0.5469107551487414,47820.685039355696
1.0,ESG-GJR-GARCH(G),10,LONG_VOL,13227,0.5330814159427985,2.963369918454535,0.5397293414984501,7051.067888675396
1.0,ESG-GJR-GARCH(S),20,SHORT_VOL,3313,24.7708742362385,11.286686943542584,0.5798370057349834,82065.90634465816
1.0,ESG-GJR-GARCH(S),5,LONG_VOL,15234,1.8167813769500953,2.259105628895595,0.5465406327950637,27676.84749645775
1.0,ESG-GJR-GARCH(S),10,LONG_VOL,13176,-0.3555814855115237,2.9401949004879633,0.5386308439587129,-4685.141653099836
1.0,GARCH,20,SHORT_VOL,3118,28.313128590549926,11.251243403186052,0.5840282232200128,88280.33494533467
1.0,GARCH,5,LONG_VOL,16856,2.287790903480977,2.0372487698596973,0.5397484575225439,38563.003469075345
1.0,GARCH,10,LONG_VOL,14617,-0.6113767231825553,1.884628844460332,0.5237736881713074,-8936.493562759411
1.0,GARCH,20,LONG_VOL,5150,-6.499230805802072,-2.841114803656099,0.47262135922330095,-33471.03864988067
1.0,GJR-GARCH,20,SHORT_VOL,3024,27.598238841635478,11.67109438197314,0.582010582010582,83457.07425710569
1.0,GJR-GARCH,5,LONG_VOL,16347,3.502787112306531,2.2441663262239597,0.5452376582859241,57260.06092487486
1.0,GJR-GARCH,10,LONG_VOL,14118,1.2171057386062651,2.4764353959375818,0.5310242243943901,17183.09881764325
1.0,ESG-GJR-GARCH,20,LONG_VOL,4636,-2.3507724176620797,0.13416756656822315,0.5010785159620362,-10898.180928281401
1.0,ESG-GJR-GARCH(E),20,LONG_VOL,4619,-11.200736898479377,0.1259383671191614,0.5007577397705131,-51736.20373407624
1.0,ESG-GJR-GARCH(G),20,LONG_VOL,4660,-2.0080222381017045,0.6618481847877113,0.5047210300429185,-9357.383629553944
1.0,ESG-GJR-GARCH(S),20,LONG_VOL,4632,-11.00610965362948,0.31520051062270316,0.5023747841105354,-50980.29991561175
1.0,GJR-GARCH,20,LONG_VOL,4943,-3.029546938222583,-1.3747203257002454,0.4855351001416144,-14975.050515634228
1.5,EGARCH,5,SHORT_VOL,8712,14.185239716720991,4.041715814543577,0.554178145087236,123581.80841207328
1.5,EGARCH,10,SHORT_VOL,6920,23.29795405284773,10.710331808335003,0.5923410404624277,161221.8420457063
1.5,ESG-EGARCH,5,SHORT_VOL,9301,11.461053515260016,3.924434640253388,0.555101601978282,106599.25874543341
1.5,ESG-EGARCH,10,SHORT_VOL,7476,18.12889082125219,10.082150623703885,0.5894863563402889,135531.58777968137
1.5,ESG-EGARCH(E),5,SHORT_VOL,9380,13.046042875080312,3.941298507886448,0.555543710021322,122371.88216825333
1.5,ESG-EGARCH(E),10,SHORT_VOL,7530,19.296147248504397,10.050340860422393,0.5891102257636123,145299.98878123812
1.5,ESG-EGARCH(G),5,SHORT_VOL,9291,11.82617087822702,3.8864478231380986,0.5538693359164784,109876.95362960723
1.5,ESG-EGARCH(G),10,SHORT_VOL,7455,18.821014722506025,9.957351333612678,0.5875251509054326,140310.6647562824
1.5,ESG-EGARCH(S),5,SHORT_VOL,9323,13.27121140666023,3.948552246477515,0.5548643140619972,123727.50394429332
1.5,ESG-EGARCH(S),10,SHORT_VOL,7483,19.9948119144179,10.011008699936163,0.5881331016971802,149621.17755558915
1.5,ESG-GARCH,5,SHORT_VOL,8257,12.514237609856965,3.6587889663405777,0.5486254087440959,103330.05994458895
1.5,ESG-GARCH,10,SHORT_VOL,6533,17.06520831408075,9.162566937954105,0.579519363232818,111487.00591588953
1.5,ESG-GARCH(E),5,SHORT_VOL,8336,14.499417611313563,3.728493826716001,0.5491842610364683,120867.14520790985
1.5,ESG-GARCH(E),10,SHORT_VOL,6586,18.75070971699786,9.15841398227057,0.5791071970847251,123492.17419614791
1.5,ESG-GARCH(G),5,SHORT_VOL,8212,14.138432780227568,3.7316463401831372,0.5495616171456406,116104.80999122879
1.5,ESG-GARCH(G),10,SHORT_VOL,6481,18.121478079701756,9.154494253030993,0.5781515198271872,117445.29943454708
1.5,ESG-GARCH(S),5,SHORT_VOL,8277,14.408876841331361,3.703539029934774,0.5491119971003987,119262.27361569968
1.5,ESG-GARCH(S),10,SHORT_VOL,6548,18.917645695783225,9.158416300202669,0.5789554062309102,123872.74401598856
1.5,ESG-GJR-GARCH,5,SHORT_VOL,8040,14.291657077431823,3.827059075572052,0.5519900497512438,114904.92290255186
1.5,ESG-GJR-GARCH,10,SHORT_VOL,6371,18.247667040768043,9.204202310083772,0.5824831266677131,116255.88671673319
1.5,ESG-GJR-GARCH(E),5,SHORT_VOL,8120,14.266427254390385,3.826156015735802,0.5522167487684729,115843.38930564992
1.5,ESG-GJR-GARCH(E),10,SHORT_VOL,6433,19.151126372973486,9.204202310083772,0.5824654127156847,123199.19595733844
1.5,ESG-GJR-GARCH(G),5,SHORT_VOL,7985,14.365774872684394,3.8060767683907835,0.5511584220413275,114710.71235838489
1.5,ESG-GJR-GARCH(G),10,SHORT_VOL,6317,18.999460121207633,9.14176237135013,0.5801804654107963,120019.58958566861
1.5,ESG-GJR-GARCH(S),5,SHORT_VOL,8049,14.732867209489132,3.8109388799060184,0.5517455584544664,118584.84816917803
1.5,ESG-GJR-GARCH(S),10,SHORT_VOL,6375,19.135872643693254,9.154317563590466,0.5814901960784313,121991.1881035445
1.5,GARCH,5,SHORT_VOL,7626,15.326339372111658,3.823032225538814,0.5496984002098085,116878.6640517235
1.5,GARCH,10,SHORT_VOL,5961,20.60415387243545,9.609506289840663,0.5801040093943969,122821.36123358771
1.5,GJR-GARCH,5,SHORT_VOL,7358,14.405598883413461,3.792967151150103,0.5485186191899973,105996.39658415625
1.5,GJR-GARCH,10,SHORT_VOL,5789,18.68003613148039,9.15432028265445,0.5802383831404387,108138.72916513997
1.5,EGARCH,20,SHORT_VOL,1973,26.200125961110015,11.12023100527449,0.5843892549417131,51692.84852127006
1.5,EGARCH,5,LONG_VOL,9254,5.778196651705823,2.402941879049492,0.5514372163388804,53471.431814885684
1.5,EGARCH,10,LONG_VOL,7976,3.958683160035054,2.3932574300059564,0.5313440320962889,31574.45688443959
1.5,EGARCH,20,LONG_VOL,2733,-0.3745065372327231,-1.0934620829598103,0.4888401024515185,-1023.5263662570322
1.5,ESG-EGARCH,5,LONG_VOL,8061,-0.6694568189384288,2.0049346350477686,0.5422404168217343,-5396.491417462675
1.5,ESG-EGARCH,10,LONG_VOL,6950,-5.801875896577893,1.7857000234860438,0.5231654676258993,-40323.03748121636
1.5,ESG-EGARCH,20,LONG_VOL,2368,-23.276896375630056,-0.16061014212259117,0.4978885135135135,-55119.69061749197
1.5,ESG-EGARCH,20,SHORT_VOL,2163,23.91071947578125,11.110130287877723,0.5834489135460009,51718.886226114846
1.5,ESG-EGARCH(E),5,LONG_VOL,8083,0.5617766388465139,2.1183951561370193,0.5450946430780651,4540.8405717963715
1.5,ESG-EGARCH(E),10,LONG_VOL,6975,-4.234570808392225,1.841726328847817,0.52415770609319,-29536.131388535767
