ticker,secid,file,option_rows,option_min,option_max,overlap_dates,overlap_rows,valid_iv_rows,valid_mid_rows,valid_forward_rows,valid_pricing_rows,calls,puts,atm_valid_rows,valid_pricing_dates,oos_dates,oos_rows
FTI,210772,FTI_210772_options.csv,143876,2017-01-17,2019-06-28,358,88530,79495,88530,88509,79495,44265,44265,3778,358,349,4179
FTV,209612,FTV_209612_options.csv,183839,2016-07-06,2019-06-28,503,164768,126182,164768,149540,126182,82384,82384,16195,503,490,2838
GD,105168,GD_105168_options.csv,425544,2017-01-03,2019-06-28,626,425544,364651,425544,425522,364651,212771,212773,24784,626,2333,33675
GE,105169,GE_105169_options.csv,409838,2017-01-03,2019-06-28,626,409838,307978,409838,383237,307978,204916,204922,15610,625,2091,30045
GILD,105243,GILD_105243_options.csv,597753,2017-01-03,2019-06-28,626,597753,531595,597753,597730,531595,298874,298879,53609,626,2333,33653
GIS,105174,GIS_105174_options.csv,128957,2017-01-03,2019-06-28,626,128957,112757,128957,128946,112757,64479,64478,5534,626,2333,33543
GLW,103434,GLW_103434_options.csv,406091,2017-01-03,2019-06-28,626,406091,344526,406091,405810,344526,203045,203046,25736,626,2091,30045
GM,144671,GM_144671_options.csv,467404,2017-01-03,2019-06-28,626,467404,406596,467404,467404,406596,233702,233702,31819,626,1867,28005
GOOG,203876,GOOG_203876_options.csv,1876695,2017-01-03,2019-06-28,626,1876695,1632149,1876695,1849745,1632149,938347,938348,178018,626,1039,15585
GOOGL,121812,GOOGL_121812_options.csv,1921227,2017-01-03,2019-06-28,626,1921227,1689851,1921227,1902810,1689851,960613,960614,178456,626,2333,33675
GPC,105206,GPC_105206_options.csv,311877,2017-01-03,2019-06-28,626,311877,262785,311877,307325,262785,155939,155938,34849,626,2333,33675
GPN,112551,GPN_112551_options.csv,89766,2017-01-03,2019-06-28,626,89766,75913,89766,88267,75913,44881,44885,4294,626,2333,33675
GRMN,112498,GRMN_112498_options.csv,403224,2017-01-03,2019-06-28,626,403224,345431,403224,402764,345431,201612,201612,41061,626,2091,29583
GS,105329,GS_105329_options.csv,680806,2017-01-03,2019-06-28,626,680806,590859,680806,680747,590859,340403,340403,41104,626,2333,33675
GT,105340,GT_105340_options.csv,376438,2017-01-03,2019-06-28,626,376438,321324,376438,376045,321324,188219,188219,21744,626,2091,30045
