model,N,Tickers,Observed_Straddle,Model_Straddle,Mispricing_Mean,Mispricing_Median,Mispricing_Std,Mispricing_Q05,Mispricing_Q95,Forecast_Vol
EGARCH,148173,336,5.832935622549317,5.950172545631992,-0.11723692308267522,-0.021468245956892673,2.2126415729704134,-2.648489197120342,2.122259332317664,0.2569160430322445
ESG-EGARCH,143878,336,5.8599759170964285,5.903973606927758,-0.04399768983132989,-0.0009753236926568487,2.074308033986742,-2.437183356178506,2.166761458992459,0.251752544879981
ESG-EGARCH(E),143878,336,5.8599759170964285,5.899111890860719,-0.039135973764290316,-0.0005213397831846933,2.0665178013986427,-2.427903830833054,2.172047058670749,0.2517043076895747
ESG-EGARCH(G),143878,336,5.8599759170964285,5.907568375078156,-0.04759245798172642,-0.0029912428706142524,2.073638246784951,-2.4448904385753454,2.1579480338533723,0.2519989797913668
ESG-EGARCH(S),143878,336,5.8599759170964285,5.899216799043262,-0.039240881946833193,-0.00041002114898436304,2.069104676758223,-2.4357672654177454,2.1662196997353735,0.25172849002395614
ESG-GARCH,144050,336,5.85695629989587,5.986374295949036,-0.1294179960531658,-0.03679673809848061,2.154983904278821,-2.6802304789058073,2.06293216171244,0.25619953823054364
ESG-GARCH(E),144050,336,5.85695629989587,5.981337575703141,-0.12438127580727182,-0.036680910424435,2.1398879184084567,-2.67304830763432,2.070882354504364,0.25614293415406353
ESG-GARCH(G),144050,336,5.85695629989587,5.98891085827821,-0.13195455838234083,-0.03841745682942721,2.1471397927209783,-2.679195306431088,2.060919913406031,0.25640414811985307
ESG-GARCH(S),144050,336,5.85695629989587,5.982242455850682,-0.1252861559548121,-0.03715991566441579,2.1435328429760543,-2.6762432359171813,2.06585415401408,0.25622195809963544
ESG-GJR-GARCH,143970,336,5.852794887823852,5.98745593723245,-0.13466104940859733,-0.040924328572802704,2.195959094847182,-2.781962332482118,2.1237535739293576,0.2568880274839113
ESG-GJR-GARCH(E),143970,336,5.852794887823852,5.983090530998902,-0.13029564317505027,-0.041529997710866406,2.181983391834436,-2.7798283309492415,2.13194038548134,0.2568449125736794
ESG-GJR-GARCH(G),143970,336,5.852794887823852,5.991253545631081,-0.13845865780722935,-0.04310143255686216,2.189696490484969,-2.796608424748426,2.116958836749729,0.2571715220843298
ESG-GJR-GARCH(S),143970,336,5.852794887823852,5.983482460078966,-0.13068757225511338,-0.04141420734322265,2.1843755072975473,-2.7863112413439284,2.127502126280548,0.25690941422240127
GARCH,148368,336,5.829434783780869,6.041193804565419,-0.2117590207845505,-0.053620965852312796,2.311084494675835,-2.980384495856527,2.017805825865472,0.2624280780592101
GJR-GARCH,148288,336,5.825379700312904,6.048509422518896,-0.2231297222059906,-0.05296629829475075,2.3610599105560968,-3.175113466938402,2.077388151518117,0.2641059260572346
