model,rows,tickers,mean_iv,mean_forecast,mean_iv_gap,mean_vrp_vol,median_iv,median_forecast
EGARCH,204866,342,0.25069289308702597,0.25102797540332783,0.00033508231630184735,-0.00033508231630184735,0.23135475,0.2345715058739874
ESG-EGARCH,199048,342,0.25010268089439064,0.24661832317091198,-0.003484357723478625,0.003484357723478625,0.230996,0.2339317410786269
ESG-EGARCH(E),199048,342,0.25010268089439064,0.24662095891961336,-0.00348172197477727,0.00348172197477727,0.230996,0.2338576015086666
ESG-EGARCH(G),199048,342,0.25010268089439064,0.24685683945926556,-0.00324584143512506,0.00324584143512506,0.230996,0.2339596538515982
ESG-EGARCH(S),199048,342,0.25010268089439064,0.24663090818383593,-0.0034717727105547033,0.0034717727105547033,0.230996,0.2338233676855145
ESG-GARCH,199298,342,0.250158365471137,0.2509668371068613,0.0008084716357242867,-0.0008084716357242867,0.23102175,0.2378608733556899
ESG-GARCH(E),199298,342,0.250158365471137,0.2509238941235081,0.0007655286523710406,-0.0007655286523710406,0.23102175,0.2376536433537678
ESG-GARCH(G),199298,342,0.250158365471137,0.2511838098147428,0.0010254443436057898,-0.0010254443436057898,0.23102175,0.23777285850072494
ESG-GARCH(S),199298,342,0.250158365471137,0.2510980951461195,0.0009397296749824956,-0.0009397296749824956,0.23102175,0.237733781764493
ESG-GJR-GARCH,199192,342,0.2501522297138774,0.2513329500477693,0.0011807203338918993,-0.0011807203338918993,0.231015,0.2367287653622033
ESG-GJR-GARCH(E),199192,342,0.2501522297138774,0.25134471225313176,0.0011924825392543453,-0.0011924825392543453,0.231015,0.2366753604045129
ESG-GJR-GARCH(G),199192,342,0.2501522297138774,0.25167460587962565,0.0015223761657482647,-0.0015223761657482647,0.231015,0.2369475040262055
ESG-GJR-GARCH(S),199192,342,0.2501522297138774,0.2514606790417924,0.0013084493279150093,-0.0013084493279150093,0.231015,0.2366777901926204
GARCH,205159,342,0.25075511604739087,0.25658689605417934,0.005831780006788486,-0.005831780006788486,0.231394,0.2383895748559173
GJR-GARCH,205053,342,0.2507494641515446,0.257829594708669,0.007080130557124481,-0.007080130557124481,0.231389,0.2366458264339802
