model,horizon,active_days,total_pnl_usd,cum_return_1m,ann_return_1m,ann_vol_1m,max_drawdown_1m,sortino_type,median_daily_return,p05_daily_return,p95_daily_return
ESG-GARCH(E),10,1404,107070.93590367303,0.10707093590367303,0.019217860290402854,0.017931688639453318,-0.05767606655426352,1.9780963393171218,1.46619820388514e-05,-0.0007401452998480313,0.0008277913570434296
ESG-GARCH(G),5,1549,132847.08794752456,0.13284708794752456,0.021612308691269327,0.016044343217651674,-0.04667895836374489,2.1189525721089755,1.2810686098528642e-05,-0.00033165132685616906,0.0008190788652544791
ESG-GARCH(G),10,1403,100213.77891947584,0.10021377891947583,0.017999908971994234,0.01762271701660864,-0.05656668262098238,1.863261872601539,1.5639406913383316e-05,-0.0007776246535611588,0.0008278099139735878
ESG-GARCH(S),5,1547,131995.3637263282,0.13199536372632822,0.021501507213338534,0.016077015655209925,-0.047154520551338404,2.1075766534702725,1.0737960177244504e-05,-0.0003279016264472075,0.0008190362615587821
ESG-GARCH(S),10,1398,103810.30726349734,0.10381030726349734,0.018712587575394367,0.017972004532997545,-0.05729431415695516,1.9224934660699617,1.3050320704673505e-05,-0.0007776444895842325,0.0008278062114305112
ESG-GJR-GARCH,5,1586,132341.59466197374,0.13234159466197373,0.021027794359910076,0.01580221448305858,-0.04410883439986914,2.101062048696099,1.3926852352846239e-05,-0.0003416385198226718,0.000765467223257586
ESG-GJR-GARCH,10,1459,115865.09497361678,0.11586509497361679,0.020012339913194947,0.01643928364467215,-0.041980628258058594,2.2034305061129777,1.788677222020638e-05,-0.0006208471821892335,0.0009115973588332761
ESG-GJR-GARCH(E),5,1597,136048.61403355707,0.13604861403355706,0.02146790903973474,0.015735297302885646,-0.04438241782921764,2.143133414781293,1.356978544658825e-05,-0.00032698766304092223,0.0007916429576515118
ESG-GJR-GARCH(E),10,1461,121384.621042729,0.12138462104272901,0.02093697775685675,0.01673720928923812,-0.04367212258925409,2.307697389277768,1.7366665954474843e-05,-0.0006271461761285856,0.000900995219562136
ESG-GJR-GARCH(G),5,1612,134962.18324042446,0.13496218324042447,0.021098306561158166,0.015647417764229444,-0.043791039955852,2.1191036497047966,1.3323640360934049e-05,-0.00034242958811635005,0.0007752857099196301
ESG-GJR-GARCH(G),10,1475,122668.50753150288,0.12266850753150288,0.020957602642670322,0.016632780461749735,-0.04225633367000267,2.317239636583916,1.8336113687563045e-05,-0.0006385003309503994,0.0009074298012424536
ESG-GJR-GARCH(S),5,1611,137848.37606090537,0.13784837606090536,0.021562874467627655,0.01573999352837056,-0.044215506230890385,2.168877429015424,1.2765163847458352e-05,-0.0003236031392836862,0.0007656745621553785
ESG-GJR-GARCH(S),10,1472,119983.13185289766,0.11998313185289766,0.020540590507425415,0.016660977265947955,-0.042962942584369966,2.2736650253996324,1.673131453010174e-05,-0.0006186066076192213,0.0008894105469438727
GARCH,5,1698,156345.3661681925,0.1563453661681925,0.023203199219307722,0.015040424542729743,-0.040936071495938725,2.569155158451794,8.532833050723812e-06,-0.0003271924165271694,0.0007837108648290008
GARCH,10,1554,128045.46769471058,0.12804546769471056,0.020764129896439554,0.016567112227689272,-0.04902466348236411,2.473346745112429,1.0890157374493754e-05,-0.0005849861495495785,0.0008125536442112575
GJR-GARCH,5,1712,153608.27682008437,0.15360827682008438,0.022610564111367557,0.014431577585946173,-0.03754253626460521,2.537226249450554,1.078427387184716e-05,-0.0003267709776157873,0.0007895290321584807
GJR-GARCH,10,1568,132395.14856899632,0.1323951485689963,0.02127779173430298,0.015262444466665442,-0.033925614112491176,2.640117846276736,1.574850765274208e-05,-0.0005314923398804192,0.0009095711516177849
EGARCH,20,876,50669.3221550131,0.050669322155013095,0.014576106373359932,0.021855267239937318,-0.05109920731737933,0.9937932920259085,9.634816197984009e-06,-0.0005927047012824817,0.0007448591316240085
ESG-EGARCH,20,758,-3400.80439137714,-0.00340080439137714,-0.0011306104309063841,0.016758094388538515,-0.05520422518706881,-0.07413201300556639,1.3369909067541965e-05,-0.0005135007575977073,0.0006716280126419006
ESG-EGARCH(E),20,755,-6692.694187625583,-0.006692694187625583,-0.0022338528944127775,0.016849904280330855,-0.05933316988644618,-0.14544935219465255,1.3274151025465329e-05,-0.0005359082310631059,0.0006712156670221466
ESG-EGARCH(G),20,764,-2959.1776495729832,-0.0029591776495729834,-0.0009760638320581043,0.01671097957858348,-0.05639195511261289,-0.064218697645163,1.5427006439808342e-05,-0.00046792159955551086,0.0006711510587410529
ESG-EGARCH(S),20,762,-6526.972659919175,-0.0065269726599191755,-0.002158526391469334,0.016789465087169702,-0.05896945964481306,-0.14115245806707008,1.0914920536804688e-05,-0.0005134468525531388,0.0006274124549354961
ESG-GARCH,20,760,-16832.07280404616,-0.016832072804046163,-0.005581160982394254,0.016859835909711313,-0.055391200212770435,-0.36256608193729817,3.2252679568502107e-06,-0.0006769459701728784,0.0006467007533389288
ESG-GARCH(E),20,766,-15893.875021787097,-0.015893875021787098,-0.005228794393590533,0.016794103585193,-0.05684916339787445,-0.3404768525908689,5.093455767287598e-06,-0.0006283936926842439,0.0006238790083457563
ESG-GARCH(G),20,764,-17012.873063812178,-0.01701287306381218,-0.00561157593204276,0.016769124873858787,-0.05543505485680144,-0.365951658212783,3.7691136443670283e-06,-0.0006632253678276583,0.0006245505928471784
ESG-GARCH(S),20,772,-18203.451288937085,-0.018203451288937085,-0.005942059229031277,0.016724282734505675,-0.05722572058984193,-0.3892545749950932,4.523321552189372e-06,-0.0007246292228495692,0.0006246746736659254
ESG-GJR-GARCH,20,803,-11082.508773409998,-0.011082508773409997,-0.003477947958778729,0.016461328179622446,-0.05176801345868184,-0.23131510955780243,7.753028634737529e-06,-0.0005352746689940882,0.0006559947605734954
ESG-GJR-GARCH(E),20,803,-11491.85415148308,-0.011491854151483079,-0.003606410020141639,0.01651175090439486,-0.0546868605996666,-0.23907191734894798,9.073451284810544e-06,-0.0005210118180696443,0.0006559906478113118
ESG-GJR-GARCH(G),20,800,-8641.525533570493,-0.008641525533570494,-0.002722080543074705,0.016452872401410017,-0.05131756470817982,-0.1810305849129985,1.1171366948406133e-05,-0.0005195719782164532,0.0006666156876374233
ESG-GJR-GARCH(S),20,806,-9939.341579883425,-0.009939341579883425,-0.003107585704876704,0.016379412561496783,-0.05108621775470851,-0.20739688560285738,8.234492628509308e-06,-0.0004928964335922921,0.0006573179539258413
GARCH,20,860,38997.18837718078,0.038997188377180775,0.011427083105871576,0.022461808645656913,-0.0524736695455858,0.7659301066253458,3.2239098703559145e-06,-0.0007837858160507989,0.0007207426200280056
GJR-GARCH,20,858,42040.99175977178,0.04204099175977178,0.012347703873499405,0.021483897964913824,-0.04799643952733651,0.8512617122104879,3.335287446959857e-06,-0.0006587202587715914,0.000689542497138699
