model,horizon,active_days,total_pnl_usd,cum_return_1m,ann_return_1m,ann_vol_1m,max_drawdown_1m,sortino_type,median_daily_return,p05_daily_return,p95_daily_return
EGARCH,5,1696,177053.24022695897,0.17705324022695895,0.026307438995986827,0.015030750638578975,-0.03324844929934504,2.8991603676487485,1.1698265432119828e-05,-0.0003286879331301925,0.0008535923158850687
EGARCH,10,1559,192796.29893014595,0.19279629893014594,0.031163994438997294,0.01730196250247213,-0.0328665629746574,3.7797032258673884,1.729113936563776e-05,-0.0005176416001407988,0.0010251506710393244
ESG-EGARCH,5,1492,101202.76732797084,0.10120276732797084,0.017093228798021887,0.01601432505469839,-0.04753197967528854,1.5616581694058362,1.3752842770278647e-05,-0.00042622074480185723,0.0008365753133890699
ESG-EGARCH,10,1366,95208.55029846505,0.09520855029846505,0.01756409566267437,0.017794605982190778,-0.055772342170843245,1.7027506896823958,1.993328363238298e-05,-0.0009252404401714208,0.0009777924771834016
ESG-EGARCH(E),5,1493,126912.72274004987,0.12691272274004986,0.021421303503343984,0.016165016124379938,-0.03865656376251129,2.066810406380939,1.3339443570931371e-05,-0.00042620761708320475,0.0008712556966779374
ESG-EGARCH(E),10,1366,115763.8573927025,0.1157638573927025,0.02135614353071818,0.018086269809477033,-0.05642410579313642,2.1449787154065794,1.946856439446581e-05,-0.0008925612888265456,0.0009820508014500146
ESG-EGARCH(G),5,1501,106883.4033740589,0.1068834033740589,0.017944448800974577,0.016111926696421,-0.04700562827222559,1.6409414449249125,1.3558201676886521e-05,-0.00042615737336910504,0.0008321498728412681
ESG-EGARCH(G),10,1372,103360.5490221789,0.1033605490221789,0.018984590636726736,0.01787922246332584,-0.05704735922448424,1.8644905482146814,1.9109582656689257e-05,-0.0009119931450028576,0.0009965927484216284
ESG-EGARCH(S),5,1497,125772.74470867933,0.12577274470867933,0.02117216544194201,0.016200527391919038,-0.039330222636219506,2.0441724538370982,1.223228226479784e-05,-0.00044585798364774266,0.0008836355152482423
ESG-EGARCH(S),10,1370,118812.49179622822,0.11881249179622821,0.021854560534780666,0.018376023937527318,-0.056861387913105105,2.1895514012770807,1.7834444280594287e-05,-0.0008811588148227693,0.0009813396924776285
ESG-GARCH,5,1539,115642.84260130546,0.11564284260130546,0.01893567013354709,0.015562060741827343,-0.0469184863222895,1.854882545192248,1.1479097710175127e-05,-0.00033005560113195747,0.0007967676018892663
ESG-GARCH,10,1400,92362.78409921525,0.09236278409921525,0.016625301137858747,0.01717981872841612,-0.05520406642444336,1.7207927778285959,1.5456002936261097e-05,-0.0007513443353019546,0.00088092053941931
ESG-GARCH(E),5,1550,136258.6235226869,0.1362586235226869,0.022153014921107803,0.01609124371874132,-0.04674811583530098,2.1756881418471257,1.1745553126935303e-05,-0.00032792867354932624,0.0008190387792045784
