model,horizon,active_days,total_pnl_usd,cumulative_return,annualized_return_pnl,annualized_volatility,sharpe_type,max_drawdown
ESG-GJR-GARCH,5,1586,132341.59466197374,0.13234159466197373,0.021027794359910076,0.01580221448305858,1.3306865555111782,-0.04410883439986912
ESG-GJR-GARCH,10,1459,115865.09497361678,0.11586509497361679,0.020012339913194947,0.016439283644672148,1.2173486598171084,-0.04198062825805864
ESG-GJR-GARCH(E),5,1597,136048.61403355707,0.13604861403355706,0.02146790903973474,0.015735297302885646,1.3643154385012992,-0.04438241782921758
ESG-GJR-GARCH(E),10,1461,121384.621042729,0.12138462104272901,0.020936977756856746,0.01673720928923812,1.2509240575917904,-0.04367212258925413
ESG-GJR-GARCH(G),5,1612,134962.18324042446,0.13496218324042447,0.021098306561158166,0.015647417764229444,1.348357082239451,-0.043791039955852
ESG-GJR-GARCH(G),10,1475,122668.50753150288,0.12266850753150288,0.020957602642670322,0.01663278046174974,1.2600179922332493,-0.04225633367000262
ESG-GJR-GARCH(S),5,1611,137848.37606090537,0.13784837606090536,0.021562874467627655,0.01573999352837056,1.3699417619684306,-0.04421550623089039
ESG-GJR-GARCH(S),10,1472,119983.13185289766,0.11998313185289766,0.020540590507425415,0.01666097726594795,1.2328562832509649,-0.04296294258436989
GARCH,5,1698,156345.3661681925,0.1563453661681925,0.023203199219307725,0.015040424542729743,1.5427223582278276,-0.040936071495938725
GARCH,10,1554,128045.46769471058,0.12804546769471056,0.020764129896439554,0.016567112227689272,1.2533342933318,-0.04902466348236407
GJR-GARCH,5,1712,153608.27682008437,0.15360827682008438,0.02261056411136756,0.014431577585946175,1.5667423728772583,-0.037542536264605186
GJR-GARCH,10,1568,132395.14856899632,0.1323951485689963,0.02127779173430298,0.015262444466665444,1.3941273811528423,-0.03392561411249116
EGARCH,20,876,50669.3221550131,0.050669322155013095,0.014576106373359932,0.021855267239937318,0.666937915392964,-0.051099207317379325
ESG-EGARCH,20,758,-3400.80439137714,-0.00340080439137714,-0.0011306104309063841,0.01675809438853852,-0.06746652720130583,-0.0552042251870688
ESG-EGARCH(E),20,755,-6692.694187625583,-0.006692694187625583,-0.0022338528944127775,0.016849904280330855,-0.1325736251819773,-0.05933316988644617
ESG-EGARCH(G),20,764,-2959.1776495729832,-0.0029591776495729834,-0.0009760638320581044,0.01671097957858348,-0.05840853478805109,-0.056391955112612906
ESG-EGARCH(S),20,762,-6526.972659919175,-0.0065269726599191755,-0.0021585263914693335,0.016789465087169702,-0.1285643336617587,-0.058969459644813066
ESG-GARCH,20,760,-16832.07280404616,-0.016832072804046163,-0.0055811609823942536,0.016859835909711313,-0.3310329360429593,-0.055391200212770414
ESG-GARCH(E),20,766,-15893.875021787097,-0.015893875021787098,-0.005228794393590534,0.016794103585193003,-0.3113470371946883,-0.05684916339787444
ESG-GARCH(G),20,764,-17012.873063812178,-0.01701287306381218,-0.00561157593204276,0.01676912487385879,-0.3346373751912712,-0.05543505485680145
ESG-GARCH(S),20,772,-18203.451288937085,-0.018203451288937085,-0.005942059229031277,0.016724282734505675,-0.3552953106187073,-0.057225720589841926
ESG-GJR-GARCH,20,803,-11082.508773409998,-0.011082508773409997,-0.003477947958778729,0.016461328179622443,-0.21127991136730376,-0.05176801345868182
ESG-GJR-GARCH(E),20,803,-11491.85415148308,-0.011491854151483079,-0.003606410020141639,0.01651175090439486,-0.2184147544995811,-0.054686860599666584
ESG-GJR-GARCH(G),20,800,-8641.525533570493,-0.008641525533570494,-0.002722080543074705,0.016452872401410017,-0.16544713145902853,-0.05131756470817983
ESG-GJR-GARCH(S),20,806,-9939.341579883425,-0.009939341579883425,-0.0031075857048767034,0.016379412561496783,-0.18972510114201108,-0.0510862177547085
GARCH,20,860,38997.18837718078,0.038997188377180775,0.011427083105871578,0.02246180864565691,0.5087338818586656,-0.05247366954558579
GJR-GARCH,20,858,42040.99175977178,0.04204099175977178,0.012347703873499405,0.021483897964913824,0.5747422508552643,-0.047996439527336524
