model,horizon,active_days,total_pnl_usd,cumulative_return,annualized_return_pnl,annualized_volatility,sharpe_type,max_drawdown
EGARCH,5,1696,177053.24022695897,0.17705324022695895,0.026307438995986827,0.015030750638578975,1.7502411974332353,-0.033248449299345076
EGARCH,10,1559,192796.29893014595,0.19279629893014594,0.03116399443899729,0.01730196250247213,1.8011826366254426,-0.032866562974657426
ESG-EGARCH,5,1492,101202.76732797084,0.10120276732797084,0.017093228798021887,0.01601432505469839,1.0673711654808056,-0.0475319796752886
ESG-EGARCH,10,1366,95208.55029846505,0.09520855029846505,0.017564095662674372,0.017794605982190778,0.987046056555166,-0.0557723421708434
ESG-EGARCH(E),5,1493,126912.72274004987,0.12691272274004986,0.021421303503343984,0.016165016124379938,1.3251643758670033,-0.03865656376251128
ESG-EGARCH(E),10,1366,115763.8573927025,0.1157638573927025,0.021356143530718175,0.018086269809477033,1.1807931516938757,-0.056424105793136614
ESG-EGARCH(G),5,1501,106883.4033740589,0.1068834033740589,0.017944448800974577,0.016111926696421,1.1137369936620083,-0.0470056282722256
ESG-EGARCH(G),10,1372,103360.5490221789,0.1033605490221789,0.018984590636726736,0.01787922246332584,1.0618241747183497,-0.057047359224484395
ESG-EGARCH(S),5,1497,125772.74470867933,0.12577274470867933,0.02117216544194201,0.016200527391919038,1.3068812471193294,-0.03933022263621955
ESG-EGARCH(S),10,1370,118812.49179622822,0.11881249179622821,0.021854560534780666,0.018376023937527318,1.1892975656256912,-0.05686138791310508
ESG-GARCH,5,1539,115642.84260130546,0.11564284260130546,0.018935670133547088,0.015562060741827343,1.2167842323511975,-0.04691848632228955
ESG-GARCH,10,1400,92362.78409921525,0.09236278409921525,0.016625301137858747,0.01717981872841612,0.9677227333231301,-0.05520406642444333
ESG-GARCH(E),5,1550,136258.6235226869,0.1362586235226869,0.022153014921107807,0.01609124371874132,1.3767124100734611,-0.046748115835300946
ESG-GARCH(E),10,1404,107070.93590367303,0.10707093590367303,0.01921786029040285,0.017931688639453318,1.0717261869091181,-0.05767606655426351
ESG-GARCH(G),5,1549,132847.08794752456,0.13284708794752456,0.02161230869126933,0.016044343217651674,1.3470360486611812,-0.04667895836374482
ESG-GARCH(G),10,1403,100213.77891947584,0.10021377891947583,0.017999908971994234,0.01762271701660864,1.0214037344542337,-0.05656668262098234
ESG-GARCH(S),5,1547,131995.3637263282,0.13199536372632822,0.021501507213338534,0.016077015655209925,1.337406622874734,-0.04715452055133838
ESG-GARCH(S),10,1398,103810.30726349734,0.10381030726349734,0.01871258757539437,0.01797200453299755,1.04120759267766,-0.057294314156955156
