ticker,RIC,esg_lag_year,option_first,first_252_return_date,esg_date,oos_start
FE,FE,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
FFIV,FFIV.O,2011.0,1999-12-09,2010-01-12,2011-01-01,2011-01-01
FIS,FIS,2010.0,2001-07-09,2010-01-12,2010-01-01,2010-01-12
FISV,FISV.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
FITB,FITB.K,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
FLR,FLR,2010.0,2000-12-22,2010-01-12,2010-01-01,2010-01-12
FLS,FLS,2010.0,1996-09-04,2010-01-12,2010-01-01,2010-01-12
FMC,FMC,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
FRT,FRT,2010.0,2008-09-11,2010-01-12,2010-01-01,2010-01-12
FTI,FTI,2018.0,2017-01-17,2018-01-26,2018-01-01,2018-01-26
FTV,FTV,2016.0,2016-07-06,2017-06-29,2016-01-01,2017-06-29
GD,GD,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
GE,GE,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
GILD,GILD.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
GIS,GIS,2009.0,1996-01-04,2010-01-12,2009-01-01,2010-01-12
GLW,GLW,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
GM,GM,2010.0,2010-11-29,2011-11-23,2010-01-01,2011-11-23
GOOG,GOOG.O,2010.0,2014-04-03,2015-04-08,2010-01-01,2015-04-08
GOOGL,GOOGL.O,2010.0,2004-08-27,2010-01-12,2010-01-01,2010-01-12
GPC,GPC,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
GPN,GPN,2010.0,2002-03-28,2010-01-12,2010-01-01,2010-01-12
GRMN,GRMN.K,2011.0,2001-03-15,2010-01-12,2011-01-01,2011-01-01
GS,GS,2010.0,1999-08-11,2010-01-12,2010-01-01,2010-01-12
GT,GT.O,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
GWW,GWW,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
HAL,HAL,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
HAS,HAS.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
HBAN,HBAN.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
HCA,HCA,2010.0,1996-01-04,2012-03-15,2010-01-01,2012-03-15
HD,HD,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
HIG,HIG,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
HII,HII,2011.0,1996-01-04,2012-03-27,2011-01-01,2012-03-27
HLT,HLT,2014.0,1996-01-04,2014-12-23,2014-01-01,2014-12-23
HOG,HOG,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
HON,HON.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
HP,HP,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
HPE,HPE,2015.0,2015-11-03,2016-10-27,2015-01-01,2016-10-27
HPQ,HPQ,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
HRB,HRB,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
HRL,HRL,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
HSIC,HSIC.O,2010.0,1996-09-04,2010-01-12,2010-01-01,2010-01-12
HST,HST.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
HSY,HSY,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
HUM,HUM,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
IBM,IBM,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
ICE,ICE,2010.0,2005-11-28,2010-01-12,2010-01-01,2010-01-12
IDXX,IDXX.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
IFF,IFF,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
ILMN,ILMN.O,2011.0,2003-12-18,2010-01-12,2011-01-01,2011-01-01
INCY,INCY.O,2014.0,1996-09-26,2010-01-12,2014-01-01,2014-01-01
INTC,INTC.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
INTU,INTU.O,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
IP,IP,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
IPGP,IPGP.O,2010.0,2007-04-25,2010-01-12,2010-01-01,2010-01-12
IQV,IQV,2015.0,2013-06-06,2014-05-16,2015-01-01,2015-01-01
IR,IR,2017.0,1996-01-04,2018-05-23,2017-01-01,2018-05-23
IRM,IRM,2010.0,1998-05-14,2010-01-12,2010-01-01,2010-01-12
ISRG,ISRG.O,2010.0,2001-07-24,2010-01-12,2010-01-01,2010-01-12
IT,IT,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
ITW,ITW,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
IVZ,IVZ,2010.0,2007-02-21,2010-01-12,2010-01-01,2010-01-12
JBHT,JBHT.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
JCI,JCI,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
JEF,JEF,2010.0,1997-06-04,2010-01-12,2010-01-01,2010-01-12
JNJ,JNJ,2009.0,1996-01-04,2010-01-12,2009-01-01,2010-01-12
JNPR,JNPR.W^E14,2010.0,1999-10-07,2010-02-03,2010-01-01,2010-02-03
JPM,JPM,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
