ticker,RIC,esg_lag_year,option_first,first_252_return_date,esg_date,oos_start
WMB,WMB,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
WMT,WMT.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
WU,WU,2011.0,2006-10-02,2010-01-12,2011-01-01,2011-01-01
WY,WY,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
WYNN,WYNN.O,2010.0,2003-02-03,2010-01-12,2010-01-01,2010-01-12
XEC,XEC.W^E14,2010.0,2002-10-02,2012-03-30,2010-01-01,2012-03-30
XEL,XEL.O,2010.0,1997-05-27,2010-01-12,2010-01-01,2010-01-12
XOM,XOM,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
XRAY,XRAY.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
XRX,XRX.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
XYL,XYL,2012.0,2011-11-01,2012-10-19,2012-01-01,2012-10-19
YUM,YUM,2011.0,1997-10-07,2010-01-12,2011-01-01,2011-01-01
ZBH,ZBH,2011.0,2001-08-07,2010-01-12,2011-01-01,2011-01-01
ZION,ZION.O,2010.0,1997-06-03,2010-01-12,2010-01-01,2010-01-12
ZTS,ZTS,2014.0,2013-02-19,2014-02-10,2014-01-01,2014-02-10
