ticker,input_ric,instrument_id,organization_id,historical_rics,historical_ric_count,identity_change_flag,delisted_flag,legacy_ticker_flag,likely_corporate_action_flag,treatment,notes
DISCK,DISCK.A^H14,8591051510.0,,DISCK.OQ,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
DISH,DISH.B^J07,8590922883.0,,DISH.OQ,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
DLR,DLR,8590925941.0,,DLR.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
DLTR,DLTR.O,8590929461.0,,DLTR.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
DOV,DOV,8590920021.0,,DOV.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
DRE,DRE.PH^B09,8590943312.0,,DRE.N,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
DRI,DRI,8590930614.0,,DRI.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
DTE,DTE,8590940641.0,,DTE.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
DUK,DUK,8590930773.0,,DUK.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
DVA,DVA,8590932921.0,,DVA.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
DVN,DVN,8590922082.0,,DVN.A;DVN.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
DXC,DXC,8590943332.0,,CSC.N;DXC.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
EA,EA.W^E14,8590925359.0,,ERTS.OQ;EA.OQ,2,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
EBAY,EBAY.O,8590919920.0,,EBAY.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
ECL,ECL,8590937744.0,,ECL.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
ED,ED,8590926534.0,,ED.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
EFX,EFX,8590932157.0,,EFX.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
EIX,EIX,8590943184.0,,EIX.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
EL,EL,8590941672.0,,EL.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
EMN,EMN,8590925752.0,,EMN.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
EMR,EMR,8590942507.0,,EMR.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
EOG,EOG,8590941254.0,,EOG.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
EQIX,EQIX.O,8590922532.0,,EQIX.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
EQR,EQR.PH^B09,8590930720.0,,EQR.N,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
EQT,EQT,8590936265.0,,EQT.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
ES,ESc1,21672325606.0,,,0,False,False,False,False,KEEP_HISTORICAL_ENTITY,
ESRX,ESRX.B^J07,8590943562.0,,ESRX.OQ;ESRX.OQ^L18,2,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
ESS,ESS,8590935565.0,,ESS.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
ETFC,ETFC.B^J07,8590934037.0,,ET.N;ETFC.OQ;ETFCD.OQ,3,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
ETN,ETN,8590940139.0,,ETN.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
ETR,ETR,8590939422.0,,ETR.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
EVHC,EVHC.W^E14,21525008001.0,,IPO-EVH;EVHC.K;EVHC.K^L16,3,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
EW,EW,8590930375.0,,EW.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
EXC,EXC.O,8590919944.0,,EXC.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
EXPD,EXPD.K,8590932614.0,,EXPD.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
EXPE,EXPE.O,8590934610.0,,EXPEV.OQ;EXPE.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
EXR,EXR,8590931695.0,,EXR.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
F,F,8590927344.0,,F.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
FAST,FAST.O,8590920326.0,,FAST.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
FB,FB,18040303962.0,,,0,False,False,False,False,KEEP_HISTORICAL_ENTITY,
FBHS,FBHS.W^E14,21475902241.0,,FBHS_w.N;FBHS.N,2,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
FCX,FCX,8590924442.0,,FCX.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
FDX,FDX,8590940535.0,,FDX.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
FE,FE,8590931898.0,,FE.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
FFIV,FFIV.O,8590920939.0,,FFIV.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
FIS,FIS,8590943338.0,,CEY.N;FIS.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
FISV,FISV.O,8590929105.0,,FISV.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
FITB,FITB.K,8590929019.0,,FITB.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
FL,FLc1,21825125482.0,,,0,False,False,False,False,KEEP_HISTORICAL_ENTITY,
FLIR,FLIR.B^J07,8590923434.0,,FLIR.OQ,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
FLR,FLR,8590942586.0,,FLR.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
FLS,FLS,8590943814.0,,FLS.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
FMC,FMC,8590932272.0,,FMC.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
FOXA,FOXA.O,25727381061.0,,FOXAV.OQ;FOXA.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
FRT,FRT,8590941730.0,,FRT.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
FTI,FTI,21605141577.0,,FTI.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
FTV,FTV,21588441414.0,,FTV_w.N;FTV.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
GD,GD,8590928888.0,,GD.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
GE,GE,8590942041.0,,GE.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
