ticker,RIC,price_obs,price_first,price_last
HII,HII,2082,2011-03-22,2019-06-28
HLT,HLT,1395,2013-12-12,2019-06-28
HOG,HOG,2640,2009-01-02,2019-06-28
HOLX,HOLX.B^J07,0,,
HON,HON.O,2640,2009-01-02,2019-06-28
HP,HP,2640,2009-01-02,2019-06-28
HPE,HPE,930,2015-10-19,2019-06-28
HPQ,HPQ,2640,2009-01-02,2019-06-28
HRB,HRB,2640,2009-01-02,2019-06-28
HRL,HRL,2640,2009-01-02,2019-06-28
HSIC,HSIC.O,2640,2009-01-02,2019-06-28
HST,HST.O,2640,2009-01-02,2019-06-28
HSY,HSY,2640,2009-01-02,2019-06-28
HUM,HUM,2640,2009-01-02,2019-06-28
IBM,IBM,2640,2009-01-02,2019-06-28
ICE,ICE,2640,2009-01-02,2019-06-28
IDXX,IDXX.O,2640,2009-01-02,2019-06-28
IFF,IFF,2640,2009-01-02,2019-06-28
ILMN,ILMN.O,2640,2009-01-02,2019-06-28
INCY,INCY.O,2640,2009-01-02,2019-06-28
INFO,INFO.K,0,,
INTC,INTC.O,2640,2009-01-02,2019-06-28
INTU,INTU.O,2640,2009-01-02,2019-06-28
IP,IP,2640,2009-01-02,2019-06-28
IPG,IPG.PH^B09,0,,
IPGP,IPGP.O,2640,2009-01-02,2019-06-28
IQV,IQV,1546,2013-05-09,2019-06-28
IR,IR,536,2017-05-12,2019-06-28
IRM,IRM,2640,2009-01-02,2019-06-28
ISRG,ISRG.O,2640,2009-01-02,2019-06-28
IT,IT,2640,2009-01-02,2019-06-28
ITW,ITW,2640,2009-01-02,2019-06-28
IVZ,IVZ,2640,2009-01-02,2019-06-28
JBHT,JBHT.O,2640,2009-01-02,2019-06-28
JCI,JCI,2640,2009-01-02,2019-06-28
JEC,JEC.B^J07,0,,
JEF,JEF,2640,2009-01-02,2019-06-28
JNJ,JNJ,2640,2009-01-02,2019-06-28
JNPR,JNPR.W^E14,1136,2009-01-02,2014-04-30
JPM,JPM,2640,2009-01-02,2019-06-28
JWN,JWN.PH^B09,0,,
K,K.B^J07,0,,
KEY,KEY,2640,2009-01-02,2019-06-28
KHC,KHC.O,1004,2015-07-06,2019-06-28
KIM,KIM,2640,2009-01-02,2019-06-28
