ticker,rows,first_date,last_date,universe_source,status
ETR,643793,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
EVHC,249783,20010719,20181010,raw_options,PENDING_LSEG_RECONCILIATION
EW,1060522,20000403,20190628,raw_options,PENDING_LSEG_RECONCILIATION
EXC,815081,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
EXPD,645992,19961024,20190628,raw_options,PENDING_LSEG_RECONCILIATION
EXPE,1460997,20050810,20190628,raw_options,PENDING_LSEG_RECONCILIATION
EXR,234409,20080512,20190628,raw_options,PENDING_LSEG_RECONCILIATION
F,1519696,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FAST,812671,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FB,1877463,20120529,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FBHS,172137,20111005,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FCX,1814832,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FDX,1794359,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FE,671666,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FFIV,1662875,19991209,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FIS,437463,20010709,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FISV,493053,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FITB,753530,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FL,890476,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FLIR,565337,20011008,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FLR,1390343,20001222,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FLS,457665,19960904,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FMC,449509,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FOXA,41086,20190320,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FRT,344311,20080911,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FTI,143876,20170117,20190628,raw_options,PENDING_LSEG_RECONCILIATION
FTV,183839,20160706,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GD,1204712,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GE,1783401,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GILD,2001075,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GIS,751989,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GLW,1634049,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GM,1303623,20101129,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GOOG,3415085,20140403,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GOOGL,6772887,20040827,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GPC,589944,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GPN,373646,20020328,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GPS,1590307,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GRMN,1085049,20010315,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GS,2337096,19990811,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GT,1347024,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
GWW,990672,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HAL,1782712,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HAS,1130207,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HBAN,482139,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HBI,358372,20060906,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HCA,1580693,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HCP,340084,19991105,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HD,1940770,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HES,1784058,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HIG,1432927,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HII,311447,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HLT,536164,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HOG,1202903,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HOLX,716805,19960329,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HON,1351393,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HP,795930,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HPE,543522,20151103,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HPQ,1656443,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HRB,776495,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HRL,461751,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HSIC,467161,19960904,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HST,581885,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HSY,1035377,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
HUM,1781774,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
IBM,2395834,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
ICE,909714,20051128,20190628,raw_options,PENDING_LSEG_RECONCILIATION
IDXX,471758,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
IFF,444345,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
ILMN,1682482,20031218,20190628,raw_options,PENDING_LSEG_RECONCILIATION
