ticker,rows,first_date,last_date,universe_source,status,RIC,DocumentTitle,mapping_status
CINF,284942,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CINF.O,"Cincinnati Financial Corporation, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
CL,1490399,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CL,"Colgate-Palmolive Co, Ordinary Share, NYSE Consolidated",MAPPED
CLX,892826,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CLX,"The Clorox Company, Ordinary Share, NYSE Consolidated",MAPPED
CMA,800244,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CMA.B^J07,"Comerica Ord Shs, Ordinary Share, Delisted, Boston Stock Exchange Inc",MAPPED
CMCSA,1459915,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CMCSA.O,"Comcast Corporation, Ordinary Share, Class A, NASDAQ Global Select Consolidated",MAPPED
CME,2191016,20031118,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CME.O,"CME Group Inc., Ordinary Share, Class A, NASDAQ Global Select Consolidated",MAPPED
CMG,3572867,20060203,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CMG,"Chipotle Mexican Grill, Inc., Ordinary Share, NYSE Consolidated",MAPPED
CMI,1850575,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CMI,"Cummins Inc, Ordinary Share, NYSE Consolidated",MAPPED
CMS,331393,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CMS,"CMS Energy Corporation, Ordinary Share, NYSE Consolidated",MAPPED
CNC,499191,20041115,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CNC,"Centene Corp, Ordinary Share, NYSE Consolidated",MAPPED
CNP,461994,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CNP,"CenterPoint Energy, Inc., Ordinary Share, NYSE Consolidated",MAPPED
COF,1729768,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,COF,"Capital One Financial Corp, Ordinary Share, NYSE Consolidated",MAPPED
COG,842161,19980901,20190628,raw_options,PENDING_LSEG_RECONCILIATION,COG.B^J07,"Coterra Energy Ord Shs, Ordinary Share, Delisted, Boston Stock Exchange Inc",MAPPED
COL,383165,20010702,20181126,raw_options,PENDING_LSEG_RECONCILIATION,OCL9SAJ8-J8,"NZNOT, Commodity Spread, New York Mercantile Exchange (NYMEX)",MAPPED
COO,631498,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,COO.O,"The Cooper Companies, Inc., Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
COP,1731808,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,COP,"ConocoPhillips, Ordinary Share, NYSE Consolidated",MAPPED
COST,1801021,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,COST.O,"Costco Wholesale Corp, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
COTY,516880,20130621,20190628,raw_options,PENDING_LSEG_RECONCILIATION,COTY.K,"Coty Inc, Ordinary Share, Class A, NYSE Consolidated",MAPPED
CPB,875531,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CPB.O,"Campbell's Co, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
CRM,1851284,20040722,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CRM,"Salesforce, Inc., Ordinary Share, NYSE Consolidated",MAPPED
CSCO,1955376,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CSCO.O,"Cisco Systems Inc, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
CSRA,46012,20151201,20180403,raw_options,PENDING_LSEG_RECONCILIATION,CSRA.K,"Cohen & Steers Real Assets Active ETF, Equity ETF, USD, NYSE Arca Consolidated",MAPPED
CSX,1033757,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CSX.O,"CSX Corporation, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
CTAS,487638,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CTAS.O,"Cintas Corporation, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
CTL,920534,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CTL.W^E14,"Lumen Technologies Ord Shs, Ordinary Share, Delisted, Chicago Board Options Exchange",MAPPED
