ticker,rows,first_date,last_date,RIC,price_first,price_last,esg_first_date,esg_last_date,esg_obs,E_nonnull,S_nonnull,G_nonnull,first_year_with_lagged_esg,option_first,option_last,backtest_start,backtest_end,eligibility
IVZ,440221,20070221,20190628,IVZ,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2007-02-21,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
JBHT,476675,19960104,20190628,JBHT.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
JCI,1154708,19960104,20190628,JCI,2009-01-02,2019-06-28,2010-09-24,2019-09-30,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
JEF,494849,19970604,20190628,JEF,2009-01-02,2019-06-28,2009-12-31,2018-11-30,10,10,10,10,2010.0,1997-06-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
JNJ,1778893,19960104,20190628,JNJ,2009-01-02,2019-06-28,2008-12-28,2018-12-30,11,11,11,11,2009.0,1996-01-04,2019-06-28,2009-01-02,2019-06-28,ELIGIBLE_345
JNPR,1608058,19991007,20190628,JNPR.W^E14,2009-01-02,2014-04-30,2009-12-31,2018-12-31,10,10,10,10,2010.0,1999-10-07,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
JPM,2253051,19960104,20190628,JPM,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
KEY,824397,19960104,20190628,KEY,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
KHC,309819,20150707,20190628,KHC.O,2015-07-06,2019-06-28,2015-12-31,2018-12-29,5,4,4,4,2016.0,2015-07-07,2019-06-28,2016-01-01,2019-06-28,ELIGIBLE_345
KIM,249109,19980608,20190628,KIM,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1998-06-08,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
KLAC,1081974,19960104,20190628,KLAC.O,2009-01-02,2019-06-28,2008-06-30,2017-06-30,10,10,10,10,2009.0,1996-01-04,2019-06-28,2009-01-02,2019-06-28,ELIGIBLE_345
KMB,1072914,19960104,20190628,KMB.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
KMI,1111329,19970409,20190628,KMI,2011-02-11,2019-06-28,2010-12-31,2018-12-31,9,8,8,8,2011.0,1997-04-09,2019-06-28,2011-02-11,2019-06-28,ELIGIBLE_345
KMX,995511,19970512,20190628,KMX,2009-01-02,2019-06-28,2009-02-28,2018-02-28,10,10,10,10,2010.0,1997-05-12,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
KO,1681071,19960104,20190628,KO,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
KR,922547,19960104,20190628,KR,2009-01-02,2019-06-28,2009-01-31,2018-02-03,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
KSS,1228816,19960104,20190628,KSS,2009-01-02,2019-06-28,2008-02-02,2017-01-28,10,10,10,10,2009.0,1996-01-04,2019-06-28,2009-01-02,2019-06-28,ELIGIBLE_345
L,566012,19960104,20190628,L,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
LEN,1002721,19960104,20190628,LEN,2009-01-02,2019-06-28,2010-11-30,2019-11-30,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
LH,720131,19960104,20190628,LH,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
LKQ,234192,20071112,20190628,LKQ.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2007-11-12,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
LLY,1732827,19960104,20190628,LLY,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
LMT,1532512,19960104,20190628,LMT,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
LNC,700498,19960104,20190628,LNC,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
LNT,212962,19960610,20190628,LNT.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-06-10,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
LOW,1445730,19960104,20190628,LOW,2009-01-02,2019-06-28,2009-01-30,2018-02-02,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
LRCX,1493215,19960104,20190628,LRCX.O,2009-01-02,2019-06-28,2008-06-29,2017-06-25,10,10,10,10,2009.0,1996-01-04,2019-06-28,2009-01-02,2019-06-28,ELIGIBLE_345
LUV,1375699,19960104,20190628,LUV,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
LYB,990586,20101018,20190628,LYB,2010-04-28,2019-06-28,2009-12-31,2018-12-31,10,9,9,9,2010.0,2010-10-18,2019-06-28,2010-10-18,2019-06-28,ELIGIBLE_345
MA,2487737,20060605,20190628,MA,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2006-06-05,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MAA,337007,20040116,20190628,MAA,2009-01-02,2019-06-28,2014-12-31,2018-12-31,5,4,4,4,2015.0,2004-01-16,2019-06-28,2015-01-01,2019-06-28,ELIGIBLE_345
MAC,361836,20030218,20190628,MAC,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2003-02-18,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MAR,1284770,19970818,20190628,MAR.O,2009-01-02,2019-06-28,2009-01-02,2018-12-31,11,11,11,11,2010.0,1997-08-18,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MAS,672039,19960104,20190628,MAS,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MAT,1062647,19960104,20190628,MAT.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MCD,1727092,19960104,20190628,MCD,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MCHP,800440,19960104,20190628,MCHP.O,2009-01-02,2019-06-28,2009-03-31,2018-03-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MCK,1438750,19960104,20190628,MCK,2009-01-02,2019-06-28,2009-03-31,2018-03-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MCO,770771,20000320,20190628,MCO,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2000-03-20,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MDLZ,1167689,20010627,20190628,MDLZ.O,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,2001-06-27,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
MDT,1820864,19960104,20190628,MDT,2009-01-02,2019-06-28,2009-04-24,2018-04-27,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MET,1551044,19970321,20190628,MET,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1997-03-21,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MGM,1488983,19960104,20190628,MGM,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MHK,791348,19960104,20190628,MHK,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MKC,346031,19960104,20190628,MKC,2009-01-02,2019-06-28,2009-11-30,2018-11-30,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MLM,761284,19970923,20190628,MLM,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1997-09-23,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
MMM,1830319,19960104,20190628,MMM,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MNST,1309537,20060725,20190628,MNST.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2006-07-25,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MO,1772661,19960104,20190628,MO,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MOS,1562075,19960104,20190628,MOS,2009-01-02,2019-06-28,2009-05-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MPC,1272026,20110705,20190628,MPC,2011-06-23,2019-06-28,2010-12-31,2018-12-31,9,8,8,8,2011.0,2011-07-05,2019-06-28,2011-07-05,2019-06-28,ELIGIBLE_345
MRK,1804497,19960104,20190628,MRK,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MS,1737928,19960104,20190628,MS,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MSFT,2350128,19960104,20190628,MSFT.O,2009-01-02,2019-06-28,2009-06-30,2018-06-30,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MSI,973196,19960104,20190628,MSI,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MTB,626001,19970818,20190628,MTB,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1997-08-18,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
MTD,435609,19980908,20190628,MTD,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1998-09-08,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
MU,1863199,19960104,20190628,MU.O,2009-01-02,2019-06-28,2010-09-02,2019-08-29,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
NAVI,139815,20000413,20190628,NAVI.O,2014-04-17,2019-06-28,2013-12-31,2018-12-31,6,5,5,5,2014.0,2000-04-13,2019-06-28,2014-04-17,2019-06-28,ELIGIBLE_345
NCLH,225178,20130204,20190628,NCLH.K,2013-01-18,2019-06-28,2013-12-31,2018-12-31,6,5,5,5,2014.0,2013-02-04,2019-06-28,2014-01-01,2019-06-28,ELIGIBLE_345
NDAQ,609025,20050426,20190628,NDAQ.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2005-04-26,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
NEE,743996,19960104,20190628,NEE,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
NEM,1788583,19960104,20190628,NEM,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
NFLX,3638234,20021119,20190628,NFLX.O,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,2002-11-19,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
NI,491228,19970127,20190628,NI,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1997-01-27,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
NKE,1754328,19960104,20190628,NKE,2009-01-02,2019-06-28,2008-05-31,2017-05-31,10,10,10,10,2009.0,1996-01-04,2019-06-28,2009-01-02,2019-06-28,ELIGIBLE_345
NLSN,335431,20110203,20190628,NLSN.W^E14,2011-02-08,2014-04-29,2008-12-31,2017-12-31,10,8,8,8,2009.0,2011-02-03,2019-06-28,2011-02-08,2019-06-28,ELIGIBLE_345
NOC,1471651,19960104,20190628,NOC,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
NOV,1598285,19971003,20190628,NOV,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1997-10-03,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
NRG,907348,20000908,20190628,NRG,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2000-09-08,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
NSC,1597833,19960104,20190628,NSC,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
NTAP,1840776,19961107,20190628,NTAP.O,2009-01-02,2019-06-28,2009-04-24,2018-04-27,10,10,10,10,2010.0,1996-11-07,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
NTRS,506388,19960104,20190628,NTRS.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
NUE,1623884,19960104,20190628,NUE,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
NVDA,2051672,19990728,20190628,NVDA.O,2009-01-02,2019-06-28,2009-01-25,2018-01-28,10,10,10,10,2010.0,1999-07-28,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
NWL,707339,19960104,20190628,NWL.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
NWSA,217994,20130701,20190628,NWSA.O,2013-06-19,2019-06-28,2011-12-31,2017-06-30,7,5,5,5,2012.0,2013-07-01,2019-06-28,2013-07-01,2019-06-28,ELIGIBLE_345
O,288682,20070927,20190628,O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2007-09-27,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
OKE,880843,19960104,20190628,OKE,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
OMC,649599,19960104,20190628,OMC,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
ORCL,1815868,19960104,20190628,ORCL.K,2009-01-02,2019-06-28,2009-05-31,2018-05-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
ORLY,636849,19980202,20190628,ORLY.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1998-02-02,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
OXY,1859406,19960104,20190628,OXY,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PAYX,802621,19960104,20190628,PAYX.O,2009-01-02,2019-06-28,2009-05-31,2018-05-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PCAR,905582,19960104,20190628,PCAR.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PCG,661835,19960104,20190628,PCG,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PEG,292601,19960104,20190628,PEG,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PEP,1579512,19960104,20190628,PEP.O,2009-01-02,2019-06-28,2009-12-26,2018-12-29,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PFE,1836536,19960104,20190628,PFE,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
PFG,515185,20020123,20190628,PFG.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2002-01-23,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PG,1824941,19960104,20190628,PG,2009-01-02,2019-06-28,2008-06-30,2017-06-30,10,10,10,10,2009.0,1996-01-04,2019-06-28,2009-01-02,2019-06-28,ELIGIBLE_345
PGR,645069,19960104,20190628,PGR,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PH,718123,19960104,20190628,PH,2009-01-02,2019-06-28,2010-06-30,2019-06-30,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
PHM,1323037,19960104,20190628,PHM,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PKG,423784,20010709,20190628,PKG,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2001-07-09,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PLD,415888,19980513,20190628,PLD,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1998-05-13,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
PM,1395623,20080401,20190628,PM,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,2008-04-01,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
PNC,1192594,19960104,20190628,PNC,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PNR,298044,19990611,20190628,PNR,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1999-06-11,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
PNW,340313,19960104,20190628,PNW,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PPG,945578,19960104,20190628,PPG,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PPL,598262,19960827,20190628,PPL,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,9,9,9,2011.0,1996-08-27,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
PRGO,1299933,19960104,20190628,PRGO.K,2009-01-02,2019-06-28,2009-06-27,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PRU,1024939,20020314,20190628,PRU,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2002-03-14,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PSA,564020,19961224,20190628,PSA,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-12-24,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PSX,1256477,19960104,20190628,PSX,2012-04-12,2019-06-28,2012-12-31,2018-12-31,7,6,6,6,2013.0,1996-01-04,2019-06-28,2013-01-01,2019-06-28,ELIGIBLE_345
PVH,634400,19960104,20190628,PVH,2009-01-02,2019-06-28,2009-02-01,2018-02-04,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PWR,622221,20000511,20190628,PWR,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2000-05-11,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
PYPL,797938,20150720,20190628,PYPL.O,2015-07-06,2019-06-28,2015-12-31,2019-12-31,5,5,5,5,2016.0,2015-07-20,2019-06-28,2016-01-01,2019-06-28,ELIGIBLE_345
QCOM,1978796,19960104,20190628,QCOM.O,2009-01-02,2019-06-28,2010-09-26,2019-09-29,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
QRVO,338876,20150102,20190628,QRVO.O,2009-01-02,2019-06-28,2014-12-31,2018-03-31,5,4,4,4,2015.0,2015-01-02,2019-06-28,2015-01-02,2019-06-28,ELIGIBLE_345
RCL,1264702,19960104,20190628,RCL,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
REG,288093,20031014,20190628,REG.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2003-10-14,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
REGN,2627032,19960104,20190628,REGN.O,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
RF,584798,19970310,20190628,RF,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1997-03-10,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
RHI,315138,19960104,20190628,RHI,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
RJF,404681,19960104,20190628,RJF,2009-01-02,2019-06-28,2010-09-30,2019-09-30,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
RL,1276473,19970919,20190628,RL,2009-01-02,2019-06-28,2009-03-28,2018-03-31,10,10,10,10,2010.0,1997-09-19,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
RMD,368435,19981124,20190628,RMD,2009-01-02,2019-06-28,2009-06-30,2018-06-30,10,10,10,10,2010.0,1998-11-24,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
ROK,565063,19960104,20190628,ROK,2009-01-02,2019-06-28,2010-09-30,2019-09-30,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
ROP,493022,19960311,20190628,ROP.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-03-11,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
ROST,864727,19960104,20190628,ROST.O,2009-01-02,2019-06-28,2009-01-31,2018-02-03,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
RRC,997859,19960509,20190628,RRC,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-05-09,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
RSG,346723,19980716,20190628,RSG,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1998-07-16,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
SBAC,433618,20000308,20190628,SBAC.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2000-03-08,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
SBUX,1523010,19960104,20190628,SBUX.O,2009-01-02,2019-06-28,2009-09-27,2018-09-30,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
SCG,272811,19960104,20181231,SCG.W^E14,2009-01-12,2014-04-16,2009-12-31,2016-12-31,8,8,8,8,2010.0,1996-01-04,2018-12-31,2010-01-01,2019-06-28,ELIGIBLE_345
SCHW,1271233,19960104,20190628,SCHW.K,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
SHW,974567,19960104,20190628,SHW,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
SIG,495895,20090716,20190628,SIG,2009-01-02,2019-06-28,2009-01-31,2018-02-03,10,10,10,10,2010.0,2009-07-16,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
SJM,454168,20020610,20190628,SJM,2009-01-02,2019-06-28,2009-04-30,2018-04-30,10,10,10,10,2010.0,2002-06-10,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
SLB,2056926,19960104,20190628,SLB,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
SLG,380176,20070130,20190628,SLG,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2007-01-30,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
SNA,423645,19960104,20190628,SNA,2009-01-02,2019-06-28,2010-01-02,2019-12-28,11,11,11,11,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
SNPS,380726,19960104,20190628,SNPS.O,2009-01-02,2019-06-28,2009-10-31,2018-10-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
SO,881029,19960104,20190628,SO,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
SPG,963590,19960104,20190628,SPG,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
SPGI,961809,19960104,20190628,SPGI.K,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
