ticker,RIC,Date,model,forecast_vol,forecast_var_pct2,esg_spec,refit_date
KHC,KHC.O,2016-07-14,EGARCH,0.2313907939653015,2.1246706163449454,,2016-07-14
KHC,KHC.O,2016-07-14,GARCH,0.2310077861455748,2.1176427484079228,,2016-07-14
KHC,KHC.O,2016-07-14,GJR-GARCH,0.232804194479421,2.1507060701274643,,2016-07-14
KHC,KHC.O,2016-07-15,EGARCH,0.2313907939653015,2.1246706163449454,,2016-07-14
KHC,KHC.O,2016-07-15,GARCH,0.2310077861455748,2.1176427484079228,,2016-07-14
KHC,KHC.O,2016-07-15,GJR-GARCH,0.232804194479421,2.1507060701274643,,2016-07-14
KHC,KHC.O,2016-07-18,EGARCH,0.2313907939653015,2.1246706163449454,,2016-07-14
KHC,KHC.O,2016-07-18,GARCH,0.2310077861455748,2.1176427484079228,,2016-07-14
KHC,KHC.O,2016-07-18,GJR-GARCH,0.232804194479421,2.1507060701274643,,2016-07-14
KHC,KHC.O,2016-07-19,EGARCH,0.2313907939653015,2.1246706163449454,,2016-07-14
KHC,KHC.O,2016-07-19,GARCH,0.2310077861455748,2.1176427484079228,,2016-07-14
KHC,KHC.O,2016-07-19,GJR-GARCH,0.232804194479421,2.1507060701274643,,2016-07-14
KHC,KHC.O,2016-07-20,EGARCH,0.2313907939653015,2.1246706163449454,,2016-07-14
KHC,KHC.O,2016-07-20,GARCH,0.2310077861455748,2.1176427484079228,,2016-07-14
KHC,KHC.O,2016-07-20,GJR-GARCH,0.232804194479421,2.1507060701274643,,2016-07-14
KHC,KHC.O,2016-07-21,EGARCH,0.2313907939653015,2.1246706163449454,,2016-07-14
KHC,KHC.O,2016-07-21,GARCH,0.2310077861455748,2.1176427484079228,,2016-07-14
KHC,KHC.O,2016-07-21,GJR-GARCH,0.232804194479421,2.1507060701274643,,2016-07-14
KHC,KHC.O,2016-07-22,EGARCH,0.2313907939653015,2.1246706163449454,,2016-07-14
KHC,KHC.O,2016-07-22,GARCH,0.2310077861455748,2.1176427484079228,,2016-07-14
KHC,KHC.O,2016-07-22,GJR-GARCH,0.232804194479421,2.1507060701274643,,2016-07-14
KHC,KHC.O,2016-07-25,EGARCH,0.2313907939653015,2.1246706163449454,,2016-07-14
