ticker,RIC,Date,model,forecast_vol,forecast_var_pct2,esg_spec,refit_date
ZTS,ZTS,2014-02-10,EGARCH,0.13977352131991,0.7752633834193385,,2014-02-10
ZTS,ZTS,2014-02-10,GARCH,0.1446823229993104,0.8306735947808248,,2014-02-10
ZTS,ZTS,2014-02-10,GJR-GARCH,0.1417899464483768,0.7977932108664113,,2014-02-10
ZTS,ZTS,2014-02-11,EGARCH,0.13977352131991,0.7752633834193385,,2014-02-10
ZTS,ZTS,2014-02-11,GARCH,0.1446823229993104,0.8306735947808248,,2014-02-10
ZTS,ZTS,2014-02-11,GJR-GARCH,0.1417899464483768,0.7977932108664113,,2014-02-10
ZTS,ZTS,2014-02-12,EGARCH,0.13977352131991,0.7752633834193385,,2014-02-10
ZTS,ZTS,2014-02-12,GARCH,0.1446823229993104,0.8306735947808248,,2014-02-10
ZTS,ZTS,2014-02-12,GJR-GARCH,0.1417899464483768,0.7977932108664113,,2014-02-10
ZTS,ZTS,2014-02-13,EGARCH,0.13977352131991,0.7752633834193385,,2014-02-10
ZTS,ZTS,2014-02-13,GARCH,0.1446823229993104,0.8306735947808248,,2014-02-10
ZTS,ZTS,2014-02-13,GJR-GARCH,0.1417899464483768,0.7977932108664113,,2014-02-10
ZTS,ZTS,2014-02-14,EGARCH,0.13977352131991,0.7752633834193385,,2014-02-10
ZTS,ZTS,2014-02-14,GARCH,0.1446823229993104,0.8306735947808248,,2014-02-10
ZTS,ZTS,2014-02-14,GJR-GARCH,0.1417899464483768,0.7977932108664113,,2014-02-10
ZTS,ZTS,2014-02-19,EGARCH,0.13977352131991,0.7752633834193385,,2014-02-10
ZTS,ZTS,2014-02-19,GARCH,0.1446823229993104,0.8306735947808248,,2014-02-10
ZTS,ZTS,2014-02-19,GJR-GARCH,0.1417899464483768,0.7977932108664113,,2014-02-10
ZTS,ZTS,2014-02-20,EGARCH,0.13977352131991,0.7752633834193385,,2014-02-10
ZTS,ZTS,2014-02-20,GARCH,0.1446823229993104,0.8306735947808248,,2014-02-10
ZTS,ZTS,2014-02-20,GJR-GARCH,0.1417899464483768,0.7977932108664113,,2014-02-10
ZTS,ZTS,2014-02-21,EGARCH,0.13977352131991,0.7752633834193385,,2014-02-10
ZTS,ZTS,2014-02-21,GARCH,0.1446823229993104,0.8306735947808248,,2014-02-10
ZTS,ZTS,2014-02-21,GJR-GARCH,0.1417899464483768,0.7977932108664113,,2014-02-10
ZTS,ZTS,2014-02-24,EGARCH,0.13977352131991,0.7752633834193385,,2014-02-10
ZTS,ZTS,2014-02-24,GARCH,0.1446823229993104,0.8306735947808248,,2014-02-10
ZTS,ZTS,2014-02-24,GJR-GARCH,0.1417899464483768,0.7977932108664113,,2014-02-10
ZTS,ZTS,2014-02-25,EGARCH,0.13977352131991,0.7752633834193385,,2014-02-10
ZTS,ZTS,2014-02-25,GARCH,0.1446823229993104,0.8306735947808248,,2014-02-10
ZTS,ZTS,2014-02-25,GJR-GARCH,0.1417899464483768,0.7977932108664113,,2014-02-10
ZTS,ZTS,2014-02-26,EGARCH,0.13977352131991,0.7752633834193385,,2014-02-10
ZTS,ZTS,2014-02-26,GARCH,0.1446823229993104,0.8306735947808248,,2014-02-10
ZTS,ZTS,2014-02-26,GJR-GARCH,0.1417899464483768,0.7977932108664113,,2014-02-10
ZTS,ZTS,2014-02-27,EGARCH,0.13977352131991,0.7752633834193385,,2014-02-10
ZTS,ZTS,2014-02-27,GARCH,0.1446823229993104,0.8306735947808248,,2014-02-10
ZTS,ZTS,2014-02-27,GJR-GARCH,0.1417899464483768,0.7977932108664113,,2014-02-10
ZTS,ZTS,2014-02-28,EGARCH,0.13977352131991,0.7752633834193385,,2014-02-10
ZTS,ZTS,2014-02-28,GARCH,0.1446823229993104,0.8306735947808248,,2014-02-10
ZTS,ZTS,2014-02-28,GJR-GARCH,0.1417899464483768,0.7977932108664113,,2014-02-10
ZTS,ZTS,2014-03-03,EGARCH,0.13977352131991,0.7752633834193385,,2014-02-10
ZTS,ZTS,2014-03-03,GARCH,0.1446823229993104,0.8306735947808248,,2014-02-10
